theta	phi(  2)	phi(  4)	phi(  6)	phi(  9)	phi( 13)	phi( 18)	phi( 24)	phi( 30)	phi( 37)	phi( 45)	phi( 54)	phi( 64)	phi( 74)	phi( 85)	phi( 97)
   0.00	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000
   3.60	 180.00090	 180.00708	 180.01616	 180.03336	 180.05822	 180.08849	 180.12321	 180.15692	 180.19540	 180.23867	 180.29628	 180.38915	 180.52740	 180.71834	 181.39029
   7.20	 180.00178	 180.01406	 180.03207	 180.06615	 180.11538	 180.17538	 180.24438	 180.31158	 180.38863	 180.47576	 180.59226	 180.78016	 181.06005	 181.44538	 182.68221
  10.80	 180.00264	 180.02081	 180.04746	 180.09779	 180.17041	 180.25898	 180.36112	 180.46096	 180.57594	 180.70670	 180.88173	 181.16240	 181.57176	 182.10801	 183.54807
  14.40	 180.00346	 180.02725	 180.06207	 180.12768	 180.22218	 180.33751	 180.47078	 180.60141	 180.75232	 180.92451	 181.15372	 181.51165	 182.00154	 182.60882	 184.13892
  18.00	 180.00422	 180.03325	 180.07565	 180.15526	 180.26967	 180.40926	 180.57067	 180.72897	 180.91181	 181.12000	 181.39229	 181.79845	 182.32171	 182.96936	 184.46413
  21.60	 180.00493	 180.03875	 180.08799	 180.18006	 180.31199	 180.47273	 180.65834	 180.83998	 181.04897	 181.28509	 181.58648	 182.01780	 182.55660	 183.23425	 184.60312
  25.20	 180.00555	 180.04364	 180.09888	 180.20168	 180.34849	 180.52683	 180.73210	 180.93214	 181.16087	 181.41687	 181.73656	 182.18112	 182.72547	 183.40744	 184.62932
  28.80	 180.00610	 180.04788	 180.10820	 180.21988	 180.37873	 180.57095	 180.79124	 181.00481	 181.24748	 181.51701	 181.84799	 182.29804	 182.83398	 183.49220	 184.58932
  32.40	 180.00655	 180.05140	 180.11585	 180.23452	 180.40257	 180.60505	 180.83597	 181.05874	 181.31059	 181.58884	 181.92596	 182.37387	 182.88538	 183.50633	 184.49539
  36.00	 180.00690	 180.05418	 180.12178	 180.24558	 180.42011	 180.62949	 180.86714	 181.09544	 181.35257	 181.63561	 181.97419	 182.41146	 182.88653	 183.47162	 184.35490
  39.60	 180.00716	 180.05621	 180.12603	 180.25319	 180.43168	 180.64494	 180.88596	 181.11667	 181.37577	 181.66002	 181.99531	 182.41382	 182.84821	 183.40357	 184.18426
  43.20	 180.00731	 180.05751	 180.12864	 180.25755	 180.43777	 180.65227	 180.89378	 181.12426	 181.38236	 181.66442	 181.99175	 182.38572	 182.78095	 183.31021	 183.99287
  46.80	 180.00737	 180.05811	 180.12973	 180.25897	 180.43894	 180.65243	 180.89201	 181.11996	 181.37440	 181.65105	 181.96636	 182.33295	 182.69240	 183.19598	 183.79058
  50.40	 180.00734	 180.05804	 180.12943	 180.25773	 180.43579	 180.64642	 180.88201	 181.10543	 181.35384	 181.62221	 181.92240	 182.26092	 182.58775	 183.06456	 183.58972
  54.00	 180.00721	 180.05734	 180.12787	 180.25415	 180.42893	 180.63517	 180.86508	 181.08225	 181.32258	 181.58029	 181.86327	 182.17411	 182.47070	 182.91960	 183.39592
  57.60	 180.00699	 180.05608	 180.12519	 180.24855	 180.41896	 180.61959	 180.84240	 181.05193	 181.28251	 181.52768	 181.79219	 182.07610	 182.34418	 182.76456	 183.20254
  61.20	 180.00669	 180.05431	 180.12150	 180.24124	 180.40645	 180.60051	 180.81511	 181.01586	 181.23541	 181.46670	 181.71202	 181.96981	 182.21066	 182.60261	 182.99875
  64.80	 180.00631	 180.05210	 180.11696	 180.23255	 180.39193	 180.57869	 180.78421	 180.97536	 181.18295	 181.39946	 181.62525	 181.85767	 182.07230	 182.43652	 182.78369
  68.40	 180.00586	 180.04949	 180.11172	 180.22279	 180.37590	 180.55482	 180.75065	 180.93161	 181.12664	 181.32783	 181.53402	 181.74176	 181.93110	 182.26868	 182.56942
  72.00	 180.00536	 180.04658	 180.10595	 180.21224	 180.35879	 180.52952	 180.71524	 180.88567	 181.06783	 181.25348	 181.44022	 181.62398	 181.78893	 182.10111	 182.36817
  75.60	 180.00482	 180.04343	 180.09978	 180.20115	 180.34097	 180.50331	 180.67873	 180.83847	 181.00769	 181.17784	 181.34549	 181.50609	 181.64748	 181.93550	 182.17801
  79.20	 180.00424	 180.04011	 180.09336	 180.18973	 180.32277	 180.47665	 180.64172	 180.79081	 180.94721	 181.10216	 181.25133	 181.38970	 181.50823	 181.77324	 181.98436
  82.80	 180.00363	 180.03668	 180.08678	 180.17814	 180.30445	 180.44993	 180.60475	 180.74334	 180.88724	 181.02749	 181.15898	 181.27617	 181.37246	 181.61550	 181.77658
  86.40	 180.00301	 180.03318	 180.08013	 180.16655	 180.28624	 180.42345	 180.56822	 180.69661	 180.82846	 180.95467	 181.06944	 181.16655	 181.24121	 181.46326	 181.56044
  90.00	 180.00236	 180.02966	 180.07349	 180.15509	 180.26832	 180.39746	 180.53248	 180.65105	 180.77140	 180.88434	 180.98345	 181.06167	 181.11538	 181.31740	 181.35197
  93.60	 180.00172	 180.02616	 180.06695	 180.14389	 180.25084	 180.37215	 180.49778	 180.60697	 180.71644	 180.81698	 180.90156	 180.96210	 180.99569	 181.17870	 181.15949
  97.20	 180.00108	 180.02273	 180.06060	 180.13305	 180.23391	 180.34766	 180.46431	 180.56462	 180.66388	 180.75292	 180.82414	 180.86831	 180.88279	 181.04784	 180.97516
 100.80	 180.00047	 180.01941	 180.05451	 180.12263	 180.21759	 180.32408	 180.43220	 180.52415	 180.61390	 180.69238	 180.75143	 180.78061	 180.77722	 180.92542	 180.78567
 104.40	 179.99989	 180.01626	 180.04874	 180.11268	 180.20195	 180.30148	 180.40152	 180.48565	 180.56661	 180.63546	 180.68356	 180.69920	 180.67939	 180.81184	 180.58931
 108.00	 179.99935	 180.01332	 180.04331	 180.10322	 180.18699	 180.27989	 180.37232	 180.44916	 180.52203	 180.58218	 180.62054	 180.62416	 180.58959	 180.70727	 180.39945
 111.60	 179.99885	 180.01061	 180.03825	 180.09426	 180.17274	 180.25931	 180.34459	 180.41466	 180.48011	 180.53245	 180.56227	 180.55546	 180.50790	 180.61163	 180.23140
 115.20	 179.99840	 180.00815	 180.03355	 180.08581	 180.15918	 180.23973	 180.31829	 180.38209	 180.44078	 180.48615	 180.50857	 180.49292	 180.43423	 180.52464	 180.08884
 118.80	 179.99800	 180.00596	 180.02922	 180.07785	 180.14631	 180.22112	 180.29337	 180.35137	 180.40389	 180.44307	 180.45917	 180.43626	 180.36836	 180.44603	 179.96465
 122.40	 179.99766	 180.00401	 180.02524	 180.07039	 180.13412	 180.20344	 180.26976	 180.32239	 180.36932	 180.40303	 180.41378	 180.38511	 180.30995	 180.37561	 179.85227
 126.00	 179.99739	 180.00232	 180.02163	 180.06341	 180.12256	 180.18664	 180.24738	 180.29505	 180.33690	 180.36578	 180.37209	 180.33905	 180.25864	 180.31331	 179.75390
 129.60	 179.99719	 180.00087	 180.01837	 180.05690	 180.11162	 180.17066	 180.22615	 180.26922	 180.30646	 180.33112	 180.33378	 180.29768	 180.21404	 180.25903	 179.67717
 133.20	 179.99706	 179.99966	 180.01545	 180.05084	 180.10125	 180.15545	 180.20596	 180.24478	 180.27783	 180.29880	 180.29856	 180.26057	 180.17568	 180.21252	 179.62415
 136.80	 179.99700	 179.99869	 180.01287	 180.04521	 180.09141	 180.14093	 180.18674	 180.22158	 180.25083	 180.26860	 180.26613	 180.22735	 180.14306	 180.17325	 179.58774
 140.40	 179.99700	 179.99792	 180.01059	 180.03997	 180.08207	 180.12706	 180.16837	 180.19952	 180.22530	 180.24029	 180.23621	 180.19762	 180.11557	 180.14038	 179.56048
 144.00	 179.99706	 179.99737	 180.00862	 180.03511	 180.07317	 180.11375	 180.15078	 180.17845	 180.20106	 180.21366	 180.20849	 180.17099	 180.09255	 180.11288	 179.54387
 147.60	 179.99718	 179.99701	 180.00691	 180.03058	 180.06469	 180.10097	 180.13387	 180.15827	 180.17796	 180.18849	 180.18270	 180.14705	 180.07337	 180.08981	 179.54593
 151.20	 179.99735	 179.99684	 180.00546	 180.02637	 180.05657	 180.08864	 180.11756	 180.13885	 180.15586	 180.16458	 180.15855	 180.12540	 180.05743	 180.07039	 179.56992
 154.80	 179.99757	 179.99684	 180.00424	 180.02243	 180.04878	 180.07670	 180.10177	 180.12011	 180.13460	 180.14175	 180.13580	 180.10566	 180.04424	 180.05414	 179.60855
 158.40	 179.99783	 179.99699	 180.00323	 180.01875	 180.04128	 180.06512	 180.08643	 180.10194	 180.11408	 180.11984	 180.11422	 180.08751	 180.03339	 180.04072	 179.65100
 162.00	 179.99813	 179.99728	 180.00240	 180.01528	 180.03402	 180.05383	 180.07147	 180.08424	 180.09416	 180.09870	 180.09362	 180.07070	 180.02455	 180.02984	 179.69394
 165.60	 179.99846	 179.99768	 180.00172	 180.01200	 180.02697	 180.04277	 180.05682	 180.06694	 180.07474	 180.07819	 180.07384	 180.05502	 180.01742	 180.02119	 179.74297
 169.20	 179.99882	 179.99818	 180.00118	 180.00886	 180.02008	 180.03191	 180.04240	 180.04994	 180.05572	 180.05819	 180.05475	 180.04032	 180.01173	 180.01435	 179.80310
 172.80	 179.99920	 179.99874	 180.00073	 180.00585	 180.01332	 180.02120	 180.02817	 180.03317	 180.03698	 180.03858	 180.03619	 180.02640	 180.00716	 180.00886	 179.87076
 176.40	 179.99960	 179.99936	 180.00035	 180.00290	 180.00664	 180.01058	 180.01406	 180.01655	 180.01844	 180.01922	 180.01800	 180.01305	 180.00338	 180.00422	 179.93752
 180.00	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000
 183.60	 180.00040	 180.00064	 179.99965	 179.99710	 179.99336	 179.98942	 179.98594	 179.98345	 179.98156	 179.98078	 179.98200	 179.98695	 179.99662	 179.99578	 180.06248
 187.20	 180.00080	 180.00126	 179.99927	 179.99415	 179.98668	 179.97880	 179.97183	 179.96683	 179.96302	 179.96142	 179.96381	 179.97360	 179.99284	 179.99114	 180.12924
 190.80	 180.00118	 180.00182	 179.99882	 179.99114	 179.97992	 179.96809	 179.95760	 179.95006	 179.94428	 179.94181	 179.94525	 179.95968	 179.98827	 179.98565	 180.19690
 194.40	 180.00154	 180.00232	 179.99828	 179.98800	 179.97303	 179.95723	 179.94318	 179.93306	 179.92526	 179.92181	 179.92616	 179.94498	 179.98258	 179.97881	 180.25703
 198.00	 180.00187	 180.00272	 179.99760	 179.98472	 179.96598	 179.94617	 179.92853	 179.91576	 179.90584	 179.90130	 179.90638	 179.92930	 179.97545	 179.97016	 180.30606
 201.60	 180.00217	 180.00301	 179.99677	 179.98125	 179.95872	 179.93488	 179.91357	 179.89806	 179.88592	 179.88016	 179.88578	 179.91249	 179.96661	 179.95928	 180.34900
 205.20	 180.00243	 180.00316	 179.99576	 179.97757	 179.95122	 179.92330	 179.89823	 179.87989	 179.86540	 179.85825	 179.86420	 179.89434	 179.95576	 179.94586	 180.39145
 208.80	 180.00265	 180.00316	 179.99454	 179.97363	 179.94343	 179.91136	 179.88244	 179.86115	 179.84414	 179.83542	 179.84145	 179.87460	 179.94257	 179.92961	 180.43008
 212.40	 180.00282	 180.00299	 179.99309	 179.96942	 179.93531	 179.89903	 179.86613	 179.84173	 179.82204	 179.81151	 179.81730	 179.85295	 179.92663	 179.91019	 180.45407
 216.00	 180.00294	 180.00263	 179.99138	 179.96489	 179.92683	 179.88625	 179.84922	 179.82155	 179.79894	 179.78634	 179.79151	 179.82901	 179.90745	 179.88712	 180.45613
 219.60	 180.00300	 180.00208	 179.98941	 179.96003	 179.91793	 179.87294	 179.83163	 179.80048	 179.77470	 179.75971	 179.76379	 179.80238	 179.88443	 179.85962	 180.43952
 223.20	 180.00300	 180.00131	 179.98713	 179.95479	 179.90859	 179.85907	 179.81326	 179.77842	 179.74917	 179.73140	 179.73387	 179.77265	 179.85694	 179.82675	 180.41226
 226.80	 180.00294	 180.00034	 179.98455	 179.94916	 179.89875	 179.84455	 179.79404	 179.75522	 179.72217	 179.70120	 179.70144	 179.73943	 179.82432	 179.78748	 180.37585
 230.40	 180.00281	 179.99913	 179.98163	 179.94310	 179.88838	 179.82934	 179.77385	 179.73078	 179.69354	 179.66888	 179.66622	 179.70232	 179.78596	 179.74097	 180.32283
 234.00	 180.00261	 179.99768	 179.97837	 179.93659	 179.87744	 179.81336	 179.75262	 179.70495	 179.66310	 179.63422	 179.62791	 179.66095	 179.74136	 179.68669	 180.24610
 237.60	 180.00234	 179.99599	 179.97476	 179.92961	 179.86588	 179.79656	 179.73024	 179.67761	 179.63068	 179.59697	 179.58622	 179.61489	 179.69005	 179.62439	 180.14773
 241.20	 180.00200	 179.99404	 179.97078	 179.92215	 179.85369	 179.77888	 179.70663	 179.64863	 179.59611	 179.55693	 179.54083	 179.56374	 179.63164	 179.55397	 180.03535
 244.80	 180.00160	 179.99185	 179.96645	 179.91419	 179.84082	 179.76027	 179.68171	 179.61791	 179.55922	 179.51385	 179.49143	 179.50708	 179.56577	 179.47536	 179.91116
 248.40	 180.00115	 179.98939	 179.96175	 179.90574	 179.82726	 179.74069	 179.65541	 179.58534	 179.51989	 179.46755	 179.43773	 179.44454	 179.49210	 179.38837	 179.76860
 252.00	 180.00065	 179.98668	 179.95669	 179.89678	 179.81301	 179.72011	 179.62768	 179.55084	 179.47797	 179.41782	 179.37946	 179.37584	 179.41041	 179.29273	 179.60055
