theta	phi(  2)	phi(  4)	phi(  6)	phi(  9)	phi( 13)	phi( 18)	phi( 24)	phi( 30)	phi( 37)	phi( 45)	phi( 54)	phi( 64)	phi( 74)	phi( 85)	phi( 97)
 255.60	 180.00011	 179.98374	 179.95126	 179.88732	 179.79805	 179.69852	 179.59848	 179.51435	 179.43339	 179.36454	 179.31644	 179.30080	 179.32061	 179.18816	 179.41069
 259.20	 179.99953	 179.98059	 179.94549	 179.87737	 179.78241	 179.67592	 179.56780	 179.47585	 179.38610	 179.30762	 179.24857	 179.21939	 179.22278	 179.07458	 179.21433
 262.80	 179.99892	 179.97727	 179.93940	 179.86695	 179.76609	 179.65234	 179.53569	 179.43538	 179.33612	 179.24708	 179.17586	 179.13169	 179.11721	 178.95216	 179.02484
 266.40	 179.99828	 179.97384	 179.93305	 179.85611	 179.74916	 179.62785	 179.50222	 179.39303	 179.28356	 179.18302	 179.09844	 179.03790	 179.00431	 178.82130	 178.84052
 270.00	 179.99764	 179.97034	 179.92651	 179.84491	 179.73168	 179.60254	 179.46752	 179.34895	 179.22860	 179.11566	 179.01655	 178.93833	 178.88462	 178.68260	 178.64803
 273.60	 179.99699	 179.96682	 179.91987	 179.83345	 179.71376	 179.57655	 179.43178	 179.30339	 179.17154	 179.04533	 178.93056	 178.83345	 178.75879	 178.53674	 178.43956
 277.20	 179.99637	 179.96332	 179.91322	 179.82186	 179.69555	 179.55007	 179.39525	 179.25666	 179.11276	 178.97251	 178.84102	 178.72383	 178.62754	 178.38450	 178.22343
 280.80	 179.99576	 179.95989	 179.90664	 179.81027	 179.67723	 179.52335	 179.35828	 179.20919	 179.05279	 178.89784	 178.74868	 178.61030	 178.49177	 178.22676	 178.01564
 284.40	 179.99518	 179.95657	 179.90022	 179.79885	 179.65903	 179.49669	 179.32127	 179.16153	 178.99231	 178.82216	 178.65451	 178.49391	 178.35252	 178.06450	 177.82199
 288.00	 179.99464	 179.95342	 179.89405	 179.78776	 179.64121	 179.47048	 179.28476	 179.11433	 178.93217	 178.74652	 178.55978	 178.37602	 178.21107	 177.89889	 177.63183
 291.60	 179.99414	 179.95051	 179.88828	 179.77721	 179.62410	 179.44518	 179.24935	 179.06839	 178.87336	 178.67217	 178.46598	 178.25824	 178.06890	 177.73132	 177.43058
 295.20	 179.99369	 179.94790	 179.88304	 179.76745	 179.60807	 179.42131	 179.21579	 179.02464	 178.81705	 178.60054	 178.37475	 178.14233	 177.92770	 177.56348	 177.21631
 298.80	 179.99331	 179.94569	 179.87850	 179.75876	 179.59355	 179.39949	 179.18489	 178.98414	 178.76459	 178.53330	 178.28798	 178.03019	 177.78934	 177.39739	 177.00125
 302.40	 179.99301	 179.94392	 179.87481	 179.75145	 179.58104	 179.38041	 179.15760	 178.94807	 178.71749	 178.47232	 178.20781	 177.92390	 177.65582	 177.23544	 176.79746
 306.00	 179.99279	 179.94266	 179.87213	 179.74585	 179.57107	 179.36483	 179.13492	 178.91775	 178.67742	 178.41971	 178.13673	 177.82589	 177.52930	 177.08040	 176.60408
 309.60	 179.99266	 179.94196	 179.87057	 179.74227	 179.56421	 179.35358	 179.11799	 178.89457	 178.64616	 178.37779	 178.07760	 177.73908	 177.41225	 176.93544	 176.41028
 313.20	 179.99263	 179.94189	 179.87027	 179.74103	 179.56106	 179.34757	 179.10799	 178.88004	 178.62560	 178.34895	 178.03364	 177.66705	 177.30760	 176.80402	 176.20942
 316.80	 179.99269	 179.94249	 179.87136	 179.74245	 179.56223	 179.34773	 179.10622	 178.87574	 178.61764	 178.33558	 178.00825	 177.61428	 177.21905	 176.68979	 176.00713
 320.40	 179.99284	 179.94379	 179.87397	 179.74681	 179.56832	 179.35506	 179.11404	 178.88333	 178.62423	 178.33998	 178.00469	 177.58618	 177.15179	 176.59643	 175.81575
 324.00	 179.99310	 179.94582	 179.87822	 179.75442	 179.57989	 179.37051	 179.13286	 178.90456	 178.64743	 178.36439	 178.02581	 177.58854	 177.11347	 176.52838	 175.64510
 327.60	 179.99345	 179.94860	 179.88415	 179.76548	 179.59743	 179.39495	 179.16403	 178.94126	 178.68941	 178.41116	 178.07404	 177.62613	 177.11462	 176.49367	 175.50461
 331.20	 179.99390	 179.95212	 179.89180	 179.78012	 179.62127	 179.42905	 179.20876	 178.99519	 178.75252	 178.48299	 178.15201	 177.70196	 177.16602	 176.50780	 175.41068
 334.80	 179.99445	 179.95636	 179.90112	 179.79832	 179.65151	 179.47317	 179.26790	 179.06786	 178.83913	 178.58313	 178.26343	 177.81888	 177.27453	 176.59256	 175.37068
 338.40	 179.99507	 179.96125	 179.91201	 179.81994	 179.68801	 179.52727	 179.34166	 179.16002	 178.95103	 178.71491	 178.41352	 177.98220	 177.44340	 176.76575	 175.39688
 342.00	 179.99578	 179.96675	 179.92435	 179.84474	 179.73033	 179.59074	 179.42933	 179.27103	 179.08819	 178.88000	 178.60771	 178.20155	 177.67829	 177.03064	 175.53587
 345.60	 179.99654	 179.97275	 179.93793	 179.87232	 179.77782	 179.66249	 179.52922	 179.39859	 179.24768	 179.07549	 178.84628	 178.48835	 177.99846	 177.39118	 175.86108
 349.20	 179.99736	 179.97919	 179.95254	 179.90221	 179.82959	 179.74102	 179.63888	 179.53904	 179.42406	 179.29330	 179.11827	 178.83760	 178.42824	 177.89199	 176.45193
 352.80	 179.99822	 179.98594	 179.96793	 179.93385	 179.88462	 179.82462	 179.75562	 179.68842	 179.61137	 179.52424	 179.40774	 179.21984	 178.93995	 178.55461	 177.31779
 356.40	 179.99910	 179.99292	 179.98384	 179.96664	 179.94178	 179.91151	 179.87679	 179.84308	 179.80460	 179.76133	 179.70371	 179.61085	 179.47260	 179.28166	 178.60971
 360.00	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000
