R(  2)	Z(  2)	R(  4)	Z(  4)	R(  6)	Z(  6)	R(  9)	Z(  9)	R( 13)	Z( 13)	R( 18)	Z( 18)	R( 24)	Z( 24)	R( 30)	Z( 30)	R( 37)	Z( 37)	R( 45)	Z( 45)	R( 54)	Z( 54)	R( 64)	Z( 64)	R( 74)	Z( 74)	R( 85)	Z( 85)	R( 97)	Z( 97)
 4.465083E+00	 0.000000E+00	 4.579277E+00	 0.000000E+00	 4.643930E+00	 0.000000E+00	 4.712817E+00	 0.000000E+00	 4.781492E+00	 0.000000E+00	 4.849729E+00	 0.000000E+00	 4.917816E+00	 0.000000E+00	 4.976670E+00	 0.000000E+00	 5.037398E+00	 0.000000E+00	 5.099222E+00	 0.000000E+00	 5.160977E+00	 0.000000E+00	 5.219838E+00	 0.000000E+00	 5.268188E+00	 0.000000E+00	 5.310900E+00	 0.000000E+00	 5.357277E+00	 0.000000E+00
 4.464816E+00	 1.285962E-02	 4.578416E+00	 3.254207E-02	 4.642468E+00	 4.726148E-02	 4.710413E+00	 6.608359E-02	 4.777892E+00	 8.654287E-02	 4.844779E+00	 1.072009E-01	 4.911366E+00	 1.280234E-01	 4.968752E+00	 1.465581E-01	 5.027743E+00	 1.665275E-01	 5.087483E+00	 1.881761E-01	 5.146071E+00	 2.164463E-01	 5.198940E+00	 2.606881E-01	 5.236844E+00	 3.237697E-01	 5.264897E+00	 3.974913E-01	 5.232167E+00	 6.520381E-01
 4.464017E+00	 2.565252E-02	 4.575841E+00	 6.485039E-02	 4.638112E+00	 9.409672E-02	 4.703280E+00	 1.314063E-01	 4.767257E+00	 1.718716E-01	 4.830220E+00	 2.126783E-01	 4.892482E+00	 2.537860E-01	 4.945678E+00	 2.903587E-01	 4.999766E+00	 3.297432E-01	 5.053700E+00	 3.724149E-01	 5.103618E+00	 4.279124E-01	 5.140507E+00	 5.140222E-01	 5.151571E+00	 6.353056E-01	 5.144371E+00	 7.747792E-01	 4.970202E+00	 1.221456E+00
 4.462689E+00	 3.831215E-02	 4.571585E+00	 9.668972E-02	 4.630950E+00	 1.400841E-01	 4.691630E+00	 1.952238E-01	 4.750033E+00	 2.548203E-01	 4.806844E+00	 3.148053E-01	 4.862423E+00	 3.751753E-01	 4.909242E+00	 4.288369E-01	 4.955987E+00	 4.865688E-01	 5.001385E+00	 5.490432E-01	 5.038901E+00	 6.297485E-01	 5.054060E+00	 7.533302E-01	 5.032526E+00	 9.237293E-01	 4.989740E+00	 1.113246E+00	 4.686119E+00	 1.637133E+00
 4.460840E+00	 5.077299E-02	 4.565702E+00	 1.278288E-01	 4.621108E+00	 1.848089E-01	 4.675788E+00	 2.568189E-01	 4.726902E+00	 3.343132E-01	 4.775815E+00	 4.121413E-01	 4.822976E+00	 4.903731E-01	 4.861921E+00	 5.598280E-01	 4.899802E+00	 6.344573E-01	 4.935186E+00	 7.150933E-01	 4.958843E+00	 8.182894E-01	 4.951862E+00	 9.730106E-01	 4.900630E+00	 1.177790E+00	 4.823998E+00	 1.393623E+00	 4.406926E+00	 1.930294E+00
 4.458485E+00	 6.297136E-02	 4.558262E+00	 1.580465E-01	 4.608764E+00	 2.278746E-01	 4.656208E+00	 3.155426E-01	 4.698732E+00	 4.094387E-01	 4.738521E+00	 5.035158E-01	 4.776173E+00	 5.979406E-01	 4.806447E+00	 6.816435E-01	 4.834844E+00	 7.714201E-01	 4.859905E+00	 8.681554E-01	 4.870032E+00	 9.901663E-01	 4.842420E+00	 1.167008E+00	 4.762007E+00	 1.388757E+00	 4.649113E+00	 1.614192E+00	 4.178378E+00	 2.134191E+00
 4.455639E+00	 7.484529E-02	 4.549355E+00	 1.871328E-01	 4.594163E+00	 2.689226E-01	 4.633434E+00	 3.708584E-01	 4.666461E+00	 4.794832E-01	 4.696373E+00	 5.880353E-01	 4.723986E+00	 6.967980E-01	 4.745328E+00	 7.930100E-01	 4.764193E+00	 8.958950E-01	 4.779123E+00	 1.006187E+00	 4.776196E+00	 1.142509E+00	 4.728197E+00	 1.332457E+00	 4.618891E+00	 1.560452E+00	 4.474610E+00	 1.789510E+00	 3.974398E+00	 2.272054E+00
 4.452320E+00	 8.633352E-02	 4.539094E+00	 2.148895E-01	 4.577590E+00	 3.076475E-01	 4.608029E+00	 4.223407E-01	 4.630998E+00	 5.439062E-01	 4.650686E+00	 6.650618E-01	 4.668130E+00	 7.862164E-01	 4.680571E+00	 8.930943E-01	 4.690029E+00	 1.006905E+00	 4.694943E+00	 1.128082E+00	 4.679031E+00	 1.274573E+00	 4.611141E+00	 1.471400E+00	 4.477108E+00	 1.699826E+00	 4.313532E+00	 1.929005E+00	 3.796391E+00	 2.361690E+00
 4.448547E+00	 9.737583E-02	 4.527615E+00	 2.411393E-01	 4.559349E+00	 3.437997E-01	 4.580534E+00	 4.696617E-01	 4.593195E+00	 6.023376E-01	 4.602621E+00	 7.342260E-01	 4.609996E+00	 8.658386E-01	 4.613681E+00	 9.815642E-01	 4.613861E+00	 1.104217E+00	 4.608788E+00	 1.233914E+00	 4.580131E+00	 1.387415E+00	 4.494334E+00	 1.586990E+00	 4.342917E+00	 1.812293E+00	 4.171584E+00	 2.039054E+00	 3.654014E+00	 2.432053E+00
 4.444343E+00	 1.079160E-01	 4.515076E+00	 2.657360E-01	 4.539733E+00	 3.771823E-01	 4.551466E+00	 5.125942E-01	 4.553827E+00	 6.545801E-01	 4.553148E+00	 7.953995E-01	 4.550678E+00	 9.356252E-01	 4.545803E+00	 1.058513E+00	 4.536873E+00	 1.188173E+00	 4.521977E+00	 1.324472E+00	 4.481337E+00	 1.482655E+00	 4.380913E+00	 1.682268E+00	 4.220281E+00	 1.902349E+00	 4.046989E+00	 2.123252E+00	 3.553500E+00	 2.493868E+00
 4.439739E+00	 1.179062E-01	 4.501633E+00	 2.885660E-01	 4.519025E+00	 4.076509E-01	 4.521305E+00	 5.510145E-01	 4.513565E+00	 7.005818E-01	 4.503056E+00	 8.486294E-01	 4.491043E+00	 9.957715E-01	 4.477868E+00	 1.124333E+00	 4.460110E+00	 1.259464E+00	 4.435799E+00	 1.400851E+00	 4.384445E+00	 1.562039E+00	 4.273417E+00	 1.759949E+00	 4.110204E+00	 1.972609E+00	 3.935939E+00	 2.185805E+00	 3.487555E+00	 2.539526E+00
 4.434769E+00	 1.273102E-01	 4.487438E+00	 3.095424E-01	 4.497498E+00	 4.351184E-01	 4.490483E+00	 5.848988E-01	 4.472968E+00	 7.404117E-01	 4.452987E+00	 8.941062E-01	 4.431802E+00	 1.046654E+00	 4.410662E+00	 1.179615E+00	 4.384503E+00	 1.318952E+00	 4.351418E+00	 1.464239E+00	 4.290964E+00	 1.627199E+00	 4.173327E+00	 1.821938E+00	 4.011498E+00	 2.025451E+00	 3.836081E+00	 2.232486E+00	 3.431772E+00	 2.566701E+00
 4.429473E+00	 1.361015E-01	 4.472635E+00	 3.286036E-01	 4.475404E+00	 4.595603E-01	 4.459369E+00	 6.143123E-01	 4.432489E+00	 7.742378E-01	 4.403467E+00	 9.321400E-01	 4.373538E+00	 1.088774E+00	 4.344845E+00	 1.225049E+00	 4.310829E+00	 1.367543E+00	 4.269771E+00	 1.515753E+00	 4.201951E+00	 1.679453E+00	 4.080933E+00	 1.869697E+00	 3.922468E+00	 2.064012E+00	 3.746746E+00	 2.267966E+00	 3.377288E+00	 2.580303E+00
 4.423890E+00	 1.442572E-01	 4.457361E+00	 3.457151E-01	 4.452967E+00	 4.810088E-01	 4.428272E+00	 6.393769E-01	 4.392498E+00	 8.022886E-01	 4.354918E+00	 9.631194E-01	 4.316717E+00	 1.122691E+00	 4.280940E+00	 1.261348E+00	 4.239685E+00	 1.406095E+00	 4.191519E+00	 1.556366E+00	 4.117934E+00	 1.719876E+00	 3.995795E+00	 1.904844E+00	 3.841900E+00	 2.091259E+00	 3.667646E+00	 2.294617E+00	 3.335704E+00	 2.589100E+00
 4.418057E+00	 1.517512E-01	 4.441751E+00	 3.608705E-01	 4.430383E+00	 4.995265E-01	 4.397443E+00	 6.602272E-01	 4.353302E+00	 8.248259E-01	 4.307676E+00	 9.874738E-01	 4.261700E+00	 1.148980E+00	 4.219340E+00	 1.289198E+00	 4.171486E+00	 1.435397E+00	 4.117053E+00	 1.586943E+00	 4.039022E+00	 1.749491E+00	 3.917312E+00	 1.929083E+00	 3.768996E+00	 2.109314E+00	 3.598089E+00	 2.313285E+00	 3.316754E+00	 2.600000E+00
 4.412004E+00	 1.585505E-01	 4.425933E+00	 3.740842E-01	 4.407813E+00	 5.151740E-01	 4.367091E+00	 6.769917E-01	 4.315151E+00	 8.421428E-01	 4.261999E+00	 1.005649E+00	 4.208754E+00	 1.168203E+00	 4.160316E+00	 1.309253E+00	 4.106489E+00	 1.456184E+00	 4.046541E+00	 1.608291E+00	 3.965100E+00	 1.769316E+00	 3.844940E+00	 1.943890E+00	 3.703084E+00	 2.119545E+00	 3.536980E+00	 2.324275E+00	 3.310705E+00	 2.611917E+00
 4.405762E+00	 1.646192E-01	 4.410026E+00	 3.853818E-01	 4.385403E+00	 5.279906E-01	 4.337400E+00	 6.898102E-01	 4.278244E+00	 8.545667E-01	 4.218074E+00	 1.018091E+00	 4.158060E+00	 1.180896E+00	 4.104037E+00	 1.322125E+00	 4.044818E+00	 1.469138E+00	 3.980005E+00	 1.621164E+00	 3.895962E+00	 1.780297E+00	 3.778188E+00	 1.950417E+00	 3.643458E+00	 2.122868E+00	 3.483078E+00	 2.327843E+00	 3.296388E+00	 2.617137E+00
 4.399364E+00	 1.699282E-01	 4.394129E+00	 3.947901E-01	 4.363284E+00	 5.380053E-01	 4.308530E+00	 6.988650E-01	 4.242725E+00	 8.624460E-01	 4.176030E+00	 1.025228E+00	 4.109738E+00	 1.187563E+00	 4.050593E+00	 1.328381E+00	 3.986505E+00	 1.474889E+00	 3.917379E+00	 1.626261E+00	 3.831371E+00	 1.783263E+00	 3.716573E+00	 1.949563E+00	 3.589360E+00	 2.119939E+00	 3.435211E+00	 2.324318E+00	 3.264917E+00	 2.610579E+00
