theta	phi(  2)	phi(  4)	phi(  6)	phi(  9)	phi( 13)	phi( 18)	phi( 24)	phi( 30)	phi( 37)	phi( 45)	phi( 54)	phi( 64)	phi( 74)	phi( 85)	phi( 97)
 180.00	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000
 183.60	  90.00040	  90.00064	  89.99965	  89.99710	  89.99336	  89.98942	  89.98594	  89.98345	  89.98156	  89.98078	  89.98200	  89.98695	  89.99662	  89.99578	  90.06248
 187.20	  90.00080	  90.00126	  89.99927	  89.99415	  89.98668	  89.97880	  89.97183	  89.96683	  89.96302	  89.96142	  89.96381	  89.97360	  89.99284	  89.99114	  90.12924
 190.80	  90.00118	  90.00182	  89.99882	  89.99114	  89.97992	  89.96809	  89.95760	  89.95006	  89.94428	  89.94181	  89.94525	  89.95968	  89.98827	  89.98565	  90.19690
 194.40	  90.00154	  90.00232	  89.99828	  89.98800	  89.97303	  89.95723	  89.94318	  89.93306	  89.92526	  89.92181	  89.92616	  89.94498	  89.98258	  89.97881	  90.25703
 198.00	  90.00187	  90.00272	  89.99760	  89.98472	  89.96598	  89.94617	  89.92853	  89.91576	  89.90584	  89.90130	  89.90638	  89.92930	  89.97545	  89.97016	  90.30606
 201.60	  90.00217	  90.00301	  89.99677	  89.98125	  89.95872	  89.93488	  89.91357	  89.89806	  89.88592	  89.88016	  89.88578	  89.91249	  89.96661	  89.95928	  90.34900
 205.20	  90.00243	  90.00316	  89.99576	  89.97757	  89.95122	  89.92330	  89.89823	  89.87989	  89.86540	  89.85825	  89.86420	  89.89434	  89.95576	  89.94586	  90.39145
 208.80	  90.00265	  90.00316	  89.99454	  89.97363	  89.94343	  89.91136	  89.88244	  89.86115	  89.84414	  89.83542	  89.84145	  89.87460	  89.94257	  89.92961	  90.43008
 212.40	  90.00282	  90.00299	  89.99309	  89.96942	  89.93531	  89.89903	  89.86613	  89.84173	  89.82204	  89.81151	  89.81730	  89.85295	  89.92663	  89.91019	  90.45407
 216.00	  90.00294	  90.00263	  89.99138	  89.96489	  89.92683	  89.88625	  89.84922	  89.82155	  89.79894	  89.78634	  89.79151	  89.82901	  89.90745	  89.88712	  90.45613
 219.60	  90.00300	  90.00208	  89.98941	  89.96003	  89.91793	  89.87294	  89.83163	  89.80048	  89.77470	  89.75971	  89.76379	  89.80238	  89.88443	  89.85962	  90.43952
 223.20	  90.00300	  90.00131	  89.98713	  89.95479	  89.90859	  89.85907	  89.81326	  89.77842	  89.74917	  89.73140	  89.73387	  89.77265	  89.85694	  89.82675	  90.41226
 226.80	  90.00294	  90.00034	  89.98455	  89.94916	  89.89875	  89.84455	  89.79404	  89.75522	  89.72217	  89.70120	  89.70144	  89.73943	  89.82432	  89.78748	  90.37585
 230.40	  90.00281	  89.99913	  89.98163	  89.94310	  89.88838	  89.82934	  89.77385	  89.73078	  89.69354	  89.66888	  89.66622	  89.70232	  89.78596	  89.74097	  90.32283
 234.00	  90.00261	  89.99768	  89.97837	  89.93659	  89.87744	  89.81336	  89.75262	  89.70495	  89.66310	  89.63422	  89.62791	  89.66095	  89.74136	  89.68669	  90.24610
 237.60	  90.00234	  89.99599	  89.97476	  89.92961	  89.86588	  89.79656	  89.73024	  89.67761	  89.63068	  89.59697	  89.58622	  89.61489	  89.69005	  89.62439	  90.14773
 241.20	  90.00200	  89.99404	  89.97078	  89.92215	  89.85369	  89.77888	  89.70663	  89.64863	  89.59611	  89.55693	  89.54083	  89.56374	  89.63164	  89.55397	  90.03535
 244.80	  90.00160	  89.99185	  89.96645	  89.91419	  89.84082	  89.76027	  89.68171	  89.61791	  89.55922	  89.51385	  89.49143	  89.50708	  89.56577	  89.47536	  89.91116
 248.40	  90.00115	  89.98939	  89.96175	  89.90574	  89.82726	  89.74069	  89.65541	  89.58534	  89.51989	  89.46755	  89.43773	  89.44454	  89.49210	  89.38837	  89.76860
