R(  2)	Z(  2)	R(  4)	Z(  4)	R(  6)	Z(  6)	R(  9)	Z(  9)	R( 13)	Z( 13)	R( 18)	Z( 18)	R( 24)	Z( 24)	R( 30)	Z( 30)	R( 37)	Z( 37)	R( 45)	Z( 45)	R( 54)	Z( 54)	R( 64)	Z( 64)	R( 74)	Z( 74)	R( 85)	Z( 85)	R( 97)	Z( 97)
 4.468432E+00	 1.650121E-01	 4.530788E+00	 2.825944E-01	 4.567831E+00	 3.604638E-01	 4.606146E+00	 4.489666E-01	 4.643070E+00	 5.406229E-01	 4.678927E+00	 6.329305E-01	 4.714168E+00	 7.252356E-01	 4.744290E+00	 8.049128E-01	 4.775058E+00	 8.870357E-01	 4.806026E+00	 9.707208E-01	 4.835873E+00	 1.055769E+00	 4.860616E+00	 1.143231E+00	 4.873456E+00	 1.228223E+00	 4.872952E+00	 1.323217E+00	 4.847792E+00	 1.440908E+00
 4.461873E+00	 1.772713E-01	 4.518930E+00	 3.036433E-01	 4.552244E+00	 3.874010E-01	 4.586096E+00	 4.826628E-01	 4.618192E+00	 5.813990E-01	 4.649084E+00	 6.809380E-01	 4.679346E+00	 7.805870E-01	 4.705195E+00	 8.666978E-01	 4.731600E+00	 9.555430E-01	 4.758170E+00	 1.046164E+00	 4.783543E+00	 1.138315E+00	 4.803462E+00	 1.233030E+00	 4.810975E+00	 1.324826E+00	 4.803279E+00	 1.426891E+00	 4.766564E+00	 1.552407E+00
 4.454882E+00	 1.888601E-01	 4.506356E+00	 3.235459E-01	 4.535756E+00	 4.129009E-01	 4.564937E+00	 5.146104E-01	 4.591992E+00	 6.201239E-01	 4.617707E+00	 7.266063E-01	 4.642776E+00	 8.333215E-01	 4.664155E+00	 9.256274E-01	 4.685964E+00	 1.020939E+00	 4.707837E+00	 1.118207E+00	 4.728324E+00	 1.217115E+00	 4.742829E+00	 1.318657E+00	 4.744253E+00	 1.416743E+00	 4.728364E+00	 1.525216E+00	 4.679083E+00	 1.657358E+00
 4.447498E+00	 1.997517E-01	 4.493120E+00	 3.422414E-01	 4.518439E+00	 4.368948E-01	 4.542757E+00	 5.447350E-01	 4.564575E+00	 6.567169E-01	 4.584903E+00	 7.698439E-01	 4.604551E+00	 8.833297E-01	 4.621239E+00	 9.815696E-01	 4.638183E+00	 1.083059E+00	 4.655016E+00	 1.186647E+00	 4.670182E+00	 1.291937E+00	 4.678724E+00	 1.399874E+00	 4.673453E+00	 1.503790E+00	 4.648722E+00	 1.618181E+00	 4.586638E+00	 1.756421E+00
 4.439754E+00	 2.099131E-01	 4.479279E+00	 3.596707E-01	 4.500362E+00	 4.593178E-01	 4.519637E+00	 5.729620E-01	 4.536029E+00	 6.910914E-01	 4.550760E+00	 8.105453E-01	 4.564747E+00	 9.304821E-01	 4.576506E+00	 1.034369E+00	 4.588296E+00	 1.141720E+00	 4.599748E+00	 1.251277E+00	 4.609204E+00	 1.362566E+00	 4.611378E+00	 1.476487E+00	 4.599078E+00	 1.585857E+00	 4.565369E+00	 1.705895E+00	 4.491029E+00	 1.850789E+00
 4.431683E+00	 2.192970E-01	 4.464897E+00	 3.757770E-01	 4.481600E+00	 4.801037E-01	 4.495665E+00	 5.992048E-01	 4.506448E+00	 7.231361E-01	 4.515370E+00	 8.485685E-01	 4.523454E+00	 9.746022E-01	 4.530046E+00	 1.083819E+00	 4.536403E+00	 1.196688E+00	 4.542164E+00	 1.311856E+00	 4.545600E+00	 1.428779E+00	 4.541161E+00	 1.548334E+00	 4.521769E+00	 1.662917E+00	 4.479427E+00	 1.788645E+00	 4.393917E+00	 1.941459E+00
 4.423318E+00	 2.278433E-01	 4.450048E+00	 3.905089E-01	 4.462241E+00	 4.991809E-01	 4.470944E+00	 6.233592E-01	 4.475945E+00	 7.527068E-01	 4.478862E+00	 8.837256E-01	 4.480819E+00	 1.015457E+00	 4.482023E+00	 1.129650E+00	 4.482705E+00	 1.247673E+00	 4.482529E+00	 1.368092E+00	 4.479728E+00	 1.490327E+00	 4.468566E+00	 1.615282E+00	 4.442228E+00	 1.735054E+00	 4.391905E+00	 1.866883E+00	 4.296309E+00	 2.028525E+00
 4.414695E+00	 2.354899E-01	 4.434811E+00	 4.038212E-01	 4.442380E+00	 5.164733E-01	 4.445596E+00	 6.453077E-01	 4.444667E+00	 7.796350E-01	 4.441411E+00	 9.157972E-01	 4.437057E+00	 1.052777E+00	 4.432701E+00	 1.171556E+00	 4.427530E+00	 1.294343E+00	 4.421257E+00	 1.419658E+00	 4.412118E+00	 1.546929E+00	 4.394268E+00	 1.677193E+00	 4.361297E+00	 1.802367E+00	 4.303714E+00	 1.940913E+00	 4.198464E+00	 2.110912E+00
 4.405854E+00	 2.421919E-01	 4.419264E+00	 4.156736E-01	 4.422116E+00	 5.319046E-01	 4.419752E+00	 6.649322E-01	 4.412778E+00	 8.037527E-01	 4.403227E+00	 9.445688E-01	 4.392431E+00	 1.086301E+00	 4.382406E+00	 1.209244E+00	 4.371287E+00	 1.336386E+00	 4.358863E+00	 1.466240E+00	 4.343416E+00	 1.598310E+00	 4.319089E+00	 1.733879E+00	 4.279946E+00	 1.864763E+00	 4.215677E+00	 2.010404E+00	 4.100197E+00	 2.186800E+00
 4.396836E+00	 2.479367E-01	 4.403469E+00	 4.260237E-01	 4.401532E+00	 5.453990E-01	 4.393522E+00	 6.821249E-01	 4.380428E+00	 8.249202E-01	 4.364504E+00	 9.698706E-01	 4.347188E+00	 1.115832E+00	 4.331440E+00	 1.242497E+00	 4.314350E+00	 1.373576E+00	 4.295811E+00	 1.507614E+00	 4.274205E+00	 1.644250E+00	 4.243752E+00	 1.785105E+00	 4.198966E+00	 1.921848E+00	 4.128326E+00	 2.074282E+00	 4.001405E+00	 2.254621E+00
