        r	      dnnbi	       dne	       dni	      tbn	        ti	        te	      vfova	      cureq	       feq	     pressure	       iota	        q	       1/D	    curvature	      shear	        eta
  0.9000000E-01	  0.9908621E+00	  0.9922610E+00	  0.9904187E+00	  0.9973028E+00	  0.9527996E+00	  0.9499458E+00	  0.4642526E+00	 -0.4204791E-03	  0.1001106E+01	  0.9708547E+00	  0.4766853E+00	  0.2097820E+01	  0.9934633E+00	 -0.1443469E+00	  0.4247034E-01	  0.1076119E+01
  0.9500000E-01	  0.9875352E+00	  0.9912793E+00	  0.9897222E+00	  0.9965577E+00	  0.9494792E+00	  0.9460257E+00	  0.4642526E+00	 -0.4704371E-03	  0.1001229E+01	  0.9675349E+00	  0.4777680E+00	  0.2093066E+01	  0.9927216E+00	 -0.1523490E+00	  0.4129520E-01	  0.1083125E+01
  0.1000000E+00	  0.9842131E+00	  0.9902373E+00	  0.9889317E+00	  0.9957051E+00	  0.9460922E+00	  0.9419979E+00	  0.4642526E+00	 -0.5234713E-03	  0.1001359E+01	  0.9640394E+00	  0.4787621E+00	  0.2088720E+01	  0.9919398E+00	 -0.1603460E+00	  0.3968828E-01	  0.1090355E+01
  0.1050000E+00	  0.9809839E+00	  0.9891309E+00	  0.9884080E+00	  0.9947582E+00	  0.9426399E+00	  0.9378636E+00	  0.4642526E+00	 -0.5796221E-03	  0.1001495E+01	  0.9603692E+00	  0.4796681E+00	  0.2084775E+01	  0.9911181E+00	 -0.1683322E+00	  0.3801961E-01	  0.1098218E+01
  0.1100000E+00	  0.9777186E+00	  0.9879690E+00	  0.9878474E+00	  0.9937250E+00	  0.9391231E+00	  0.9336250E+00	  0.4642526E+00	 -0.6389241E-03	  0.1001637E+01	  0.9565259E+00	  0.4804990E+00	  0.2081170E+01	  0.9902565E+00	 -0.1762969E+00	  0.3676102E-01	  0.1106378E+01
  0.1150000E+00	  0.9742856E+00	  0.9867602E+00	  0.9869366E+00	  0.9926125E+00	  0.9355426E+00	  0.9292847E+00	  0.4642526E+00	 -0.7014042E-03	  0.1001785E+01	  0.9525112E+00	  0.4812739E+00	  0.2077819E+01	  0.9893551E+00	 -0.1842311E+00	  0.3641595E-01	  0.1114474E+01
  0.1200000E+00	  0.9707603E+00	  0.9855005E+00	  0.9859887E+00	  0.9914276E+00	  0.9318991E+00	  0.9248438E+00	  0.4642526E+00	 -0.7670802E-03	  0.1001940E+01	  0.9483273E+00	  0.4820230E+00	  0.2074590E+01	  0.9884142E+00	 -0.1921279E+00	  0.3731585E-01	  0.1122867E+01
  0.1250000E+00	  0.9672526E+00	  0.9841838E+00	  0.9853035E+00	  0.9901810E+00	  0.9281935E+00	  0.9203033E+00	  0.4642526E+00	 -0.8359590E-03	  0.1002100E+01	  0.9439764E+00	  0.4827728E+00	  0.2071368E+01	  0.9874338E+00	 -0.1999801E+00	  0.3886322E-01	  0.1131913E+01
  0.1300000E+00	  0.9638020E+00	  0.9828096E+00	  0.9845017E+00	  0.9889012E+00	  0.9244271E+00	  0.9156655E+00	  0.4642526E+00	 -0.9080338E-03	  0.1002265E+01	  0.9394615E+00	  0.4835239E+00	  0.2068150E+01	  0.9864144E+00	 -0.2077793E+00	  0.4024614E-01	  0.1141189E+01
  0.1350000E+00	  0.9604104E+00	  0.9813792E+00	  0.9832317E+00	  0.9876186E+00	  0.9206013E+00	  0.9109328E+00	  0.4642526E+00	 -0.9832815E-03	  0.1002436E+01	  0.9347856E+00	  0.4842697E+00	  0.2064965E+01	  0.9853561E+00	 -0.2155166E+00	  0.4118584E-01	  0.1150284E+01
  0.1400000E+00	  0.9569984E+00	  0.9798964E+00	  0.9819305E+00	  0.9863557E+00	  0.9167170E+00	  0.9061071E+00	  0.4642526E+00	 -0.1061659E-02	  0.1002612E+01	  0.9299523E+00	  0.4850013E+00	  0.2061850E+01	  0.9842592E+00	 -0.2231824E+00	  0.4157903E-01	  0.1159703E+01
  0.1450000E+00	  0.9534877E+00	  0.9783644E+00	  0.9810199E+00	  0.9851275E+00	  0.9127750E+00	  0.9011902E+00	  0.4642526E+00	 -0.1143102E-02	  0.1002792E+01	  0.9249657E+00	  0.4857101E+00	  0.2058841E+01	  0.9831242E+00	 -0.2307646E+00	  0.4147958E-01	  0.1169952E+01
  0.1500000E+00	  0.9498854E+00	  0.9767830E+00	  0.9800718E+00	  0.9839263E+00	  0.9087758E+00	  0.8961836E+00	  0.4642526E+00	 -0.1227540E-02	  0.1002977E+01	  0.9198299E+00	  0.4863908E+00	  0.2055960E+01	  0.9819516E+00	 -0.2382469E+00	  0.4103145E-01	  0.1180538E+01
  0.1550000E+00	  0.9462324E+00	  0.9751512E+00	  0.9786530E+00	  0.9827388E+00	  0.9047201E+00	  0.8910889E+00	  0.4642526E+00	 -0.1314960E-02	  0.1003167E+01	  0.9145480E+00	  0.4870406E+00	  0.2053217E+01	  0.9807418E+00	 -0.2456114E+00	  0.4053660E-01	  0.1190943E+01
  0.1600000E+00	  0.9426179E+00	  0.9734694E+00	  0.9771598E+00	  0.9815513E+00	  0.9006100E+00	  0.8859079E+00	  0.4642526E+00	 -0.1405374E-02	  0.1003360E+01	  0.9091231E+00	  0.4876645E+00	  0.2050590E+01	  0.9794954E+00	 -0.2528420E+00	  0.4031019E-01	  0.1201645E+01
  0.1650000E+00	  0.9390926E+00	  0.9717380E+00	  0.9759969E+00	  0.9803498E+00	  0.8964472E+00	  0.8806427E+00	  0.4642526E+00	 -0.1498823E-02	  0.1003558E+01	  0.9035583E+00	  0.4882692E+00	  0.2048050E+01	  0.9782133E+00	 -0.2599219E+00	  0.4044223E-01	  0.1213152E+01
  0.1700000E+00	  0.9355050E+00	  0.9699557E+00	  0.9747744E+00	  0.9791210E+00	  0.8922316E+00	  0.8752952E+00	  0.4642526E+00	 -0.1595379E-02	  0.1003760E+01	  0.8978571E+00	  0.4888613E+00	  0.2045570E+01	  0.9768962E+00	 -0.2668332E+00	  0.4090788E-01	  0.1225000E+01
  0.1750000E+00	  0.9317075E+00	  0.9681222E+00	  0.9731079E+00	  0.9778474E+00	  0.8879632E+00	  0.8698672E+00	  0.4642526E+00	 -0.1695161E-02	  0.1003965E+01	  0.8920230E+00	  0.4894456E+00	  0.2043128E+01	  0.9755450E+00	 -0.2735576E+00	  0.4145521E-01	  0.1236708E+01
  0.1800000E+00	  0.9277735E+00	  0.9662419E+00	  0.9714287E+00	  0.9764967E+00	  0.8836439E+00	  0.8643603E+00	  0.4642526E+00	 -0.1798332E-02	  0.1004174E+01	  0.8860597E+00	  0.4900207E+00	  0.2040730E+01	  0.9741607E+00	 -0.2800881E+00	  0.4183024E-01	  0.1248816E+01
  0.1850000E+00	  0.9237967E+00	  0.9643191E+00	  0.9701540E+00	  0.9750351E+00	  0.8792756E+00	  0.8587760E+00	  0.4642526E+00	 -0.1904986E-02	  0.1004386E+01	  0.8799713E+00	  0.4905844E+00	  0.2038385E+01	  0.9727441E+00	 -0.2864266E+00	  0.4211080E-01	  0.1261873E+01
  0.1900000E+00	  0.9197328E+00	  0.9623502E+00	  0.9688265E+00	  0.9734385E+00	  0.8748587E+00	  0.8531165E+00	  0.4642526E+00	 -0.2015143E-02	  0.1004601E+01	  0.8737628E+00	  0.4911374E+00	  0.2036090E+01	  0.9712964E+00	 -0.2925650E+00	  0.4244419E-01	  0.1275311E+01
  0.1950000E+00	  0.9155088E+00	  0.9603306E+00	  0.9670033E+00	  0.9716914E+00	  0.8703933E+00	  0.8473841E+00	  0.4642526E+00	 -0.2128811E-02	  0.1004820E+01	  0.8674392E+00	  0.4916815E+00	  0.2033837E+01	  0.9698185E+00	 -0.2984872E+00	  0.4285671E-01	  0.1288553E+01
  0.2000000E+00	  0.9110736E+00	  0.9582583E+00	  0.9651710E+00	  0.9698018E+00	  0.8658811E+00	  0.8415805E+00	  0.4642526E+00	 -0.2245984E-02	  0.1005040E+01	  0.8610057E+00	  0.4922180E+00	  0.2031620E+01	  0.9683115E+00	 -0.3041757E+00	  0.4334754E-01	  0.1302248E+01
  0.2050000E+00	  0.9063942E+00	  0.9561340E+00	  0.9638100E+00	  0.9677855E+00	  0.8613235E+00	  0.8357071E+00	  0.4642526E+00	 -0.2366642E-02	  0.1005263E+01	  0.8544682E+00	  0.4927483E+00	  0.2029433E+01	  0.9667767E+00	 -0.3096162E+00	  0.4394039E-01	  0.1317065E+01
  0.2100000E+00	  0.9014866E+00	  0.9539662E+00	  0.9624449E+00	  0.9656642E+00	  0.8567212E+00	  0.8297655E+00	  0.4642526E+00	 -0.2490766E-02	  0.1005488E+01	  0.8478318E+00	  0.4932742E+00	  0.2027270E+01	  0.9652154E+00	 -0.3148028E+00	  0.4465209E-01	  0.1332372E+01
  0.2150000E+00	  0.8963824E+00	  0.9517626E+00	  0.9605969E+00	  0.9634583E+00	  0.8520747E+00	  0.8237572E+00	  0.4642526E+00	 -0.2618382E-02	  0.1005715E+01	  0.8410999E+00	  0.4937972E+00	  0.2025123E+01	  0.9636287E+00	 -0.3197285E+00	  0.4543895E-01	  0.1347502E+01
  0.2200000E+00	  0.8911265E+00	  0.9495185E+00	  0.9587275E+00	  0.9611779E+00	  0.8473857E+00	  0.8176845E+00	  0.4642526E+00	 -0.2749527E-02	  0.1005943E+01	  0.8342757E+00	  0.4943178E+00	  0.2022990E+01	  0.9620181E+00	 -0.3243778E+00	  0.4625140E-01	  0.1363103E+01
  0.2250000E+00	  0.8857606E+00	  0.9472284E+00	  0.9572963E+00	  0.9588330E+00	  0.8426556E+00	  0.8115496E+00	  0.4642526E+00	 -0.2884244E-02	  0.1006173E+01	  0.8273621E+00	  0.4948364E+00	  0.2020870E+01	  0.9603849E+00	 -0.3287331E+00	  0.4709587E-01	  0.1379859E+01
  0.2300000E+00	  0.8803024E+00	  0.9448929E+00	  0.9558155E+00	  0.9564431E+00	  0.8378849E+00	  0.8053545E+00	  0.4642526E+00	 -0.3022585E-02	  0.1006404E+01	  0.8203621E+00	  0.4953536E+00	  0.2018760E+01	  0.9587307E+00	 -0.3327827E+00	  0.4799111E-01	  0.1397097E+01
  0.2350000E+00	  0.8747650E+00	  0.9425136E+00	  0.9538082E+00	  0.9540306E+00	  0.8330739E+00	  0.7991010E+00	  0.4642526E+00	 -0.3164592E-02	  0.1006636E+01	  0.8132791E+00	  0.4958700E+00	  0.2016658E+01	  0.9570571E+00	 -0.3365234E+00	  0.4894230E-01	  0.1414121E+01
  0.2400000E+00	  0.8691691E+00	  0.9400894E+00	  0.9517883E+00	  0.9516191E+00	  0.8282237E+00	  0.7927904E+00	  0.4642526E+00	 -0.3310276E-02	  0.1006869E+01	  0.8061178E+00	  0.4963863E+00	  0.2014560E+01	  0.9553655E+00	 -0.3399485E+00	  0.4994987E-01	  0.1431691E+01
  0.2450000E+00	  0.8635359E+00	  0.9376197E+00	  0.9502551E+00	  0.9492300E+00	  0.8233354E+00	  0.7864238E+00	  0.4642526E+00	 -0.3459640E-02	  0.1007102E+01	  0.7988831E+00	  0.4969031E+00	  0.2012465E+01	  0.9536576E+00	 -0.3430422E+00	  0.5100963E-01	  0.1450588E+01
  0.2500000E+00	  0.8578812E+00	  0.9351080E+00	  0.9486594E+00	  0.9468741E+00	  0.8184106E+00	  0.7800034E+00	  0.4642526E+00	 -0.3612686E-02	  0.1007336E+01	  0.7915797E+00	  0.4974209E+00	  0.2010370E+01	  0.9519351E+00	 -0.3457935E+00	  0.5210847E-01	  0.1470007E+01
  0.2550000E+00	  0.8522231E+00	  0.9325579E+00	  0.9464604E+00	  0.9445572E+00	  0.8134506E+00	  0.7735317E+00	  0.4642526E+00	 -0.3769408E-02	  0.1007570E+01	  0.7842128E+00	  0.4979399E+00	  0.2008275E+01	  0.9501997E+00	 -0.3482147E+00	  0.5320242E-01	  0.1489104E+01
  0.2600000E+00	  0.8465933E+00	  0.9299709E+00	  0.9441985E+00	  0.9422770E+00	  0.8084557E+00	  0.7670104E+00	  0.4642526E+00	 -0.3929818E-02	  0.1007805E+01	  0.7767865E+00	  0.4984598E+00	  0.2006180E+01	  0.9484529E+00	 -0.3503217E+00	  0.5426738E-01	  0.1508717E+01
