        r	      dnnbi	       dne	       dni	      tbn	        ti	        te	      vfova	      cureq	       feq	     pressure	       iota	        q	       1/D	    curvature	      shear	        eta
  0.3750000E+00	  0.7023160E+00	  0.8603666E+00	  0.8900099E+00	  0.8809690E+00	  0.6862676E+00	  0.6074553E+00	  0.4642526E+00	 -0.8642507E-02	  0.1012865E+01	  0.5966304E+00	  0.5110547E+00	  0.1956738E+01	  0.9081830E+00	 -0.3339193E+00	  0.8336443E-01	  0.2180999E+01
  0.3800000E+00	  0.6958301E+00	  0.8569618E+00	  0.8869499E+00	  0.8779618E+00	  0.6807371E+00	  0.6002835E+00	  0.4642526E+00	 -0.8892211E-02	  0.1013056E+01	  0.5887356E+00	  0.5116189E+00	  0.1954580E+01	  0.9065181E+00	 -0.3320396E+00	  0.8301714E-01	  0.2221359E+01
  0.3850000E+00	  0.6892238E+00	  0.8535204E+00	  0.8843769E+00	  0.8749513E+00	  0.6751976E+00	  0.5931076E+00	  0.4642526E+00	 -0.9145679E-02	  0.1013244E+01	  0.5808398E+00	  0.5121724E+00	  0.1952468E+01	  0.9048626E+00	 -0.3302049E+00	  0.8242210E-01	  0.2264326E+01
  0.3900000E+00	  0.6825320E+00	  0.8500456E+00	  0.8818075E+00	  0.8719317E+00	  0.6696497E+00	  0.5859291E+00	  0.4642526E+00	 -0.9402899E-02	  0.1013431E+01	  0.5729431E+00	  0.5127153E+00	  0.1950400E+01	  0.9032161E+00	 -0.3283967E+00	  0.8184302E-01	  0.2308764E+01
  0.3950000E+00	  0.6757786E+00	  0.8465433E+00	  0.8787510E+00	  0.8689014E+00	  0.6640935E+00	  0.5787495E+00	  0.4642526E+00	 -0.9663843E-02	  0.1013614E+01	  0.5650469E+00	  0.5132484E+00	  0.1948374E+01	  0.9015786E+00	 -0.3266101E+00	  0.8129435E-01	  0.2353403E+01
  0.4000000E+00	  0.6689247E+00	  0.8430182E+00	  0.8756737E+00	  0.8658708E+00	  0.6585302E+00	  0.5715709E+00	  0.4642526E+00	 -0.9928484E-02	  0.1013795E+01	  0.5571531E+00	  0.5137716E+00	  0.1946390E+01	  0.8999500E+00	 -0.3248270E+00	  0.8078941E-01	  0.2399473E+01
  0.4050000E+00	  0.6619353E+00	  0.8394729E+00	  0.8730471E+00	  0.8628507E+00	  0.6529610E+00	  0.5643951E+00	  0.4642526E+00	 -0.1019683E-01	  0.1013973E+01	  0.5492673E+00	  0.5142860E+00	  0.1944443E+01	  0.8983303E+00	 -0.3230248E+00	  0.8060573E-01	  0.2448340E+01
  0.4100000E+00	  0.6548535E+00	  0.8359019E+00	  0.8704073E+00	  0.8598422E+00	  0.6473871E+00	  0.5572239E+00	  0.4642526E+00	 -0.1046889E-01	  0.1014147E+01	  0.5413964E+00	  0.5147952E+00	  0.1942520E+01	  0.8967197E+00	 -0.3212032E+00	  0.8093006E-01	  0.2498839E+01
  0.4150000E+00	  0.6477373E+00	  0.8323004E+00	  0.8672884E+00	  0.8568413E+00	  0.6418093E+00	  0.5500593E+00	  0.4642526E+00	 -0.1074470E-01	  0.1014319E+01	  0.5335446E+00	  0.5153022E+00	  0.1940609E+01	  0.8951183E+00	 -0.3193638E+00	  0.8126230E-01	  0.2549675E+01
  0.4200000E+00	  0.6406276E+00	  0.8286744E+00	  0.8641496E+00	  0.8538334E+00	  0.6362288E+00	  0.5429032E+00	  0.4642526E+00	 -0.1102431E-01	  0.1014487E+01	  0.5257123E+00	  0.5158042E+00	  0.1938720E+01	  0.8935261E+00	 -0.3175105E+00	  0.8107560E-01	  0.2602178E+01
  0.4250000E+00	  0.6335393E+00	  0.8250291E+00	  0.8614510E+00	  0.8508032E+00	  0.6306465E+00	  0.5357575E+00	  0.4642526E+00	 -0.1130779E-01	  0.1014651E+01	  0.5178998E+00	  0.5162979E+00	  0.1936866E+01	  0.8919432E+00	 -0.3156445E+00	  0.8052808E-01	  0.2657814E+01
  0.4300000E+00	  0.6264017E+00	  0.8213579E+00	  0.8587284E+00	  0.8477438E+00	  0.6250637E+00	  0.5286237E+00	  0.4642526E+00	 -0.1159513E-01	  0.1014812E+01	  0.5101088E+00	  0.5167825E+00	  0.1935050E+01	  0.8903697E+00	 -0.3137649E+00	  0.7989815E-01	  0.2715308E+01
  0.4350000E+00	  0.6191549E+00	  0.8176547E+00	  0.8555184E+00	  0.8446500E+00	  0.6194816E+00	  0.5215033E+00	  0.4642526E+00	 -0.1188636E-01	  0.1014969E+01	  0.5023422E+00	  0.5172581E+00	  0.1933271E+01	  0.8888055E+00	 -0.3118739E+00	  0.7920105E-01	  0.2773253E+01
  0.4400000E+00	  0.6118666E+00	  0.8139302E+00	  0.8522848E+00	  0.8415147E+00	  0.6139004E+00	  0.5143985E+00	  0.4642526E+00	 -0.1218144E-01	  0.1015123E+01	  0.4946021E+00	  0.5177243E+00	  0.1931530E+01	  0.8872509E+00	 -0.3099704E+00	  0.7839385E-01	  0.2833112E+01
  0.4450000E+00	  0.6046075E+00	  0.8101940E+00	  0.8494918E+00	  0.8383305E+00	  0.6083205E+00	  0.5073111E+00	  0.4642526E+00	 -0.1248032E-01	  0.1015273E+01	  0.4868900E+00	  0.5181805E+00	  0.1929829E+01	  0.8857058E+00	 -0.3080526E+00	  0.7747675E-01	  0.2896505E+01
  0.4500000E+00	  0.5973315E+00	  0.8064358E+00	  0.8466777E+00	  0.8350902E+00	  0.6027438E+00	  0.5002425E+00	  0.4642526E+00	 -0.1278295E-01	  0.1015419E+01	  0.4792076E+00	  0.5186265E+00	  0.1928170E+01	  0.8841704E+00	 -0.3061074E+00	  0.7645869E-01	  0.2962054E+01
  0.4550000E+00	  0.5899900E+00	  0.8026453E+00	  0.8433786E+00	  0.8317896E+00	  0.5971721E+00	  0.4931942E+00	  0.4642526E+00	 -0.1308928E-01	  0.1015561E+01	  0.4715578E+00	  0.5190617E+00	  0.1926553E+01	  0.8826448E+00	 -0.3041193E+00	  0.7533756E-01	  0.3028221E+01
  0.4600000E+00	  0.5826418E+00	  0.7988303E+00	  0.8400482E+00	  0.8284376E+00	  0.5916057E+00	  0.4861690E+00	  0.4642526E+00	 -0.1339927E-01	  0.1015699E+01	  0.4639443E+00	  0.5194859E+00	  0.1924980E+01	  0.8811292E+00	 -0.3020701E+00	  0.7413827E-01	  0.3096596E+01
  0.4650000E+00	  0.5753523E+00	  0.7950008E+00	  0.8371443E+00	  0.8250455E+00	  0.5860450E+00	  0.4791696E+00	  0.4642526E+00	 -0.1371291E-01	  0.1015834E+01	  0.4563722E+00	  0.5198990E+00	  0.1923451E+01	  0.8796241E+00	 -0.2999350E+00	  0.7300799E-01	  0.3168944E+01
  0.4700000E+00	  0.5681066E+00	  0.7911580E+00	  0.8342243E+00	  0.8216245E+00	  0.5804913E+00	  0.4721966E+00	  0.4642526E+00	 -0.1403022E-01	  0.1015963E+01	  0.4488476E+00	  0.5203022E+00	  0.1921960E+01	  0.8781298E+00	 -0.2977013E+00	  0.7207302E-01	  0.3243777E+01
  0.4750000E+00	  0.5608846E+00	  0.7872994E+00	  0.8308384E+00	  0.8181849E+00	  0.5749463E+00	  0.4652507E+00	  0.4642526E+00	 -0.1435124E-01	  0.1016088E+01	  0.4413765E+00	  0.5206968E+00	  0.1920503E+01	  0.8766471E+00	 -0.2953605E+00	  0.7123013E-01	  0.3319417E+01
  0.4800000E+00	  0.5537262E+00	  0.7834190E+00	  0.8274090E+00	  0.8147345E+00	  0.5694107E+00	  0.4583347E+00	  0.4642526E+00	 -0.1467596E-01	  0.1016208E+01	  0.4339650E+00	  0.5210830E+00	  0.1919080E+01	  0.8751762E+00	 -0.2929135E+00	  0.7036195E-01	  0.3397565E+01
  0.4850000E+00	  0.5466658E+00	  0.7795128E+00	  0.8243629E+00	  0.8112826E+00	  0.5638850E+00	  0.4514514E+00	  0.4642526E+00	 -0.1500442E-01	  0.1016324E+01	  0.4266192E+00	  0.5214607E+00	  0.1917690E+01	  0.8737179E+00	 -0.2903762E+00	  0.6954877E-01	  0.3480121E+01
  0.4900000E+00	  0.5396549E+00	  0.7755910E+00	  0.8212752E+00	  0.8078457E+00	  0.5583705E+00	  0.4446020E+00	  0.4642526E+00	 -0.1533660E-01	  0.1016433E+01	  0.4193450E+00	  0.5218308E+00	  0.1916330E+01	  0.8722725E+00	 -0.2877714E+00	  0.6887689E-01	  0.3565451E+01
  0.4950000E+00	  0.5326533E+00	  0.7716626E+00	  0.8177237E+00	  0.8044400E+00	  0.5528684E+00	  0.4377873E+00	  0.4642526E+00	 -0.1567251E-01	  0.1016537E+01	  0.4121472E+00	  0.5221942E+00	  0.1914996E+01	  0.8708402E+00	 -0.2851416E+00	  0.6823940E-01	  0.3651742E+01
  0.5000000E+00	  0.5257383E+00	  0.7677185E+00	  0.8141501E+00	  0.8010718E+00	  0.5473793E+00	  0.4310097E+00	  0.4642526E+00	 -0.1601213E-01	  0.1016636E+01	  0.4050256E+00	  0.5225507E+00	  0.1913690E+01	  0.8694211E+00	 -0.2825320E+00	  0.6745804E-01	  0.3740998E+01
  0.5050000E+00	  0.5189779E+00	  0.7637489E+00	  0.8109912E+00	  0.7977423E+00	  0.5419040E+00	  0.4242718E+00	  0.4642526E+00	 -0.1635546E-01	  0.1016729E+01	  0.3979792E+00	  0.5228992E+00	  0.1912414E+01	  0.8680149E+00	 -0.2799865E+00	  0.6627869E-01	  0.3835438E+01
  0.5100000E+00	  0.5122856E+00	  0.7597572E+00	  0.8077995E+00	  0.7944426E+00	  0.5364438E+00	  0.4175748E+00	  0.4642526E+00	 -0.1670245E-01	  0.1016817E+01	  0.3910067E+00	  0.5232370E+00	  0.1911180E+01	  0.8666212E+00	 -0.2775489E+00	  0.6453914E-01	  0.3933173E+01
  0.5150000E+00	  0.5055647E+00	  0.7557495E+00	  0.8041294E+00	  0.7911626E+00	  0.5310002E+00	  0.4109202E+00	  0.4642526E+00	 -0.1705302E-01	  0.1016900E+01	  0.3841058E+00	  0.5235613E+00	  0.1909996E+01	  0.8652394E+00	 -0.2752543E+00	  0.6255355E-01	  0.4032065E+01
  0.5200000E+00	  0.4988329E+00	  0.7517290E+00	  0.8004265E+00	  0.7878967E+00	  0.5255741E+00	  0.4043103E+00	  0.4642526E+00	 -0.1740710E-01	  0.1016978E+01	  0.3772706E+00	  0.5238729E+00	  0.1908860E+01	  0.8638687E+00	 -0.2731314E+00	  0.6060776E-01	  0.4134316E+01
  0.5250000E+00	  0.4921188E+00	  0.7476977E+00	  0.7971422E+00	  0.7846397E+00	  0.5201662E+00	  0.3977475E+00	  0.4642526E+00	 -0.1776462E-01	  0.1017051E+01	  0.3704939E+00	  0.5241719E+00	  0.1907771E+01	  0.8625081E+00	 -0.2711813E+00	  0.5833858E-01	  0.4242426E+01
  0.5300000E+00	  0.4853802E+00	  0.7436565E+00	  0.7938591E+00	  0.7813809E+00	  0.5147770E+00	  0.3912330E+00	  0.4642526E+00	 -0.1812562E-01	  0.1017120E+01	  0.3637694E+00	  0.5244554E+00	  0.1906740E+01	  0.8611568E+00	 -0.2693933E+00	  0.5536264E-01	  0.4354451E+01
  0.5350000E+00	  0.4785607E+00	  0.7396052E+00	  0.7901547E+00	  0.7781082E+00	  0.5094074E+00	  0.3847680E+00	  0.4642526E+00	 -0.1849015E-01	  0.1017185E+01	  0.3570914E+00	  0.5247198E+00	  0.1905779E+01	  0.8598141E+00	 -0.2677464E+00	  0.5193220E-01	  0.4468167E+01
  0.5400000E+00	  0.4716182E+00	  0.7355394E+00	  0.7864552E+00	  0.7748082E+00	  0.5040593E+00	  0.3783543E+00	  0.4642526E+00	 -0.1885830E-01	  0.1017245E+01	  0.3504576E+00	  0.5249647E+00	  0.1904890E+01	  0.8584794E+00	 -0.2662160E+00	  0.4837731E-01	  0.4586017E+01
  0.5450000E+00	  0.4645367E+00	  0.7314553E+00	  0.7831854E+00	  0.7714696E+00	  0.4987344E+00	  0.3719938E+00	  0.4642526E+00	 -0.1923010E-01	  0.1017302E+01	  0.3438667E+00	  0.5251901E+00	  0.1904073E+01	  0.8571520E+00	 -0.2647832E+00	  0.4464991E-01	  0.4710737E+01
  0.5500000E+00	  0.4573923E+00	  0.7273556E+00	  0.7799187E+00	  0.7680903E+00	  0.4934326E+00	  0.3656890E+00	  0.4642526E+00	 -0.1960539E-01	  0.1017355E+01	  0.3373169E+00	  0.5253950E+00	  0.1903330E+01	  0.8558315E+00	 -0.2634216E+00	  0.4068499E-01	  0.4840054E+01
  0.5550000E+00	  0.4502467E+00	  0.7232448E+00	  0.7762291E+00	  0.7646726E+00	  0.4881541E+00	  0.3594422E+00	  0.4642526E+00	 -0.1998398E-01	  0.1017404E+01	  0.3308079E+00	  0.5255787E+00	  0.1902665E+01	  0.8545178E+00	 -0.2620773E+00	  0.3675235E-01	  0.4971377E+01
  0.5600000E+00	  0.4430119E+00	  0.7191274E+00	  0.7725458E+00	  0.7612285E+00	  0.4829005E+00	  0.3532541E+00	  0.4642526E+00	 -0.2036572E-01	  0.1017449E+01	  0.3243456E+00	  0.5257430E+00	  0.1902070E+01	  0.8532108E+00	 -0.2606883E+00	  0.3308782E-01	  0.5107439E+01
  0.5650000E+00	  0.4356119E+00	  0.7150059E+00	  0.7692954E+00	  0.7577699E+00	  0.4776740E+00	  0.3471261E+00	  0.4642526E+00	 -0.2075059E-01	  0.1017491E+01	  0.3179367E+00	  0.5258894E+00	  0.1901541E+01	  0.8519109E+00	 -0.2591997E+00	  0.2941456E-01	  0.5251318E+01
  0.5700000E+00	  0.4281675E+00	  0.7108769E+00	  0.7660402E+00	  0.7543005E+00	  0.4724748E+00	  0.3410608E+00	  0.4642526E+00	 -0.2113870E-01	  0.1017528E+01	  0.3115865E+00	  0.5260168E+00	  0.1901080E+01	  0.8506188E+00	 -0.2575723E+00	  0.2545345E-01	  0.5400390E+01
  0.5750000E+00	  0.4208050E+00	  0.7067357E+00	  0.7623433E+00	  0.7508225E+00	  0.4673031E+00	  0.3350612E+00	  0.4642526E+00	 -0.2153019E-01	  0.1017560E+01	  0.3053018E+00	  0.5261243E+00	  0.1900692E+01	  0.8493352E+00	 -0.2557987E+00	  0.2147827E-01	  0.5551662E+01
  0.5800000E+00	  0.4134777E+00	  0.7025819E+00	  0.7586363E+00	  0.7473393E+00	  0.4621604E+00	  0.3291278E+00	  0.4642526E+00	 -0.2192504E-01	  0.1017587E+01	  0.2990917E+00	  0.5262133E+00	  0.1900370E+01	  0.8480608E+00	 -0.2538985E+00	  0.1778565E-01	  0.5708282E+01
  0.5850000E+00	  0.4061232E+00	  0.6984164E+00	  0.7553495E+00	  0.7438540E+00	  0.4570483E+00	  0.3232613E+00	  0.4642526E+00	 -0.2232318E-01	  0.1017609E+01	  0.2929619E+00	  0.5262856E+00	  0.1900109E+01	  0.8467962E+00	 -0.2519145E+00	  0.1416188E-01	  0.5873793E+01
  0.5900000E+00	  0.3987880E+00	  0.6942424E+00	  0.7520379E+00	  0.7403649E+00	  0.4519675E+00	  0.3174645E+00	  0.4642526E+00	 -0.2272449E-01	  0.1017626E+01	  0.2869152E+00	  0.5263407E+00	  0.1899910E+01	  0.8455416E+00	 -0.2498889E+00	  0.1032440E-01	  0.6045072E+01
  0.5950000E+00	  0.3915381E+00	  0.6900635E+00	  0.7482581E+00	  0.7368680E+00	  0.4469187E+00	  0.3117402E+00	  0.4642526E+00	 -0.2312886E-01	  0.1017637E+01	  0.2809543E+00	  0.5263777E+00	  0.1899776E+01	  0.8442973E+00	 -0.2478574E+00	  0.6263674E-02	  0.6218545E+01
  0.6000000E+00	  0.3844075E+00	  0.6858808E+00	  0.7444481E+00	  0.7333521E+00	  0.4419029E+00	  0.3060895E+00	  0.4642526E+00	 -0.2353623E-01	  0.1017644E+01	  0.2750817E+00	  0.5263961E+00	  0.1899710E+01	  0.8430631E+00	 -0.2458569E+00	  0.2047495E-02	  0.6397771E+01
  0.6050000E+00	  0.3774075E+00	  0.6816938E+00	  0.7410490E+00	  0.7298028E+00	  0.4369214E+00	  0.3005134E+00	  0.4642526E+00	 -0.2394663E-01	  0.1017645E+01	  0.2692952E+00	  0.5263957E+00	  0.1899712E+01	  0.8418387E+00	 -0.2439201E+00	 -0.2229207E-02	  0.6586846E+01
  0.6100000E+00	  0.3704909E+00	  0.6774968E+00	  0.7376328E+00	  0.7262001E+00	  0.4319751E+00	  0.2950142E+00	  0.4642526E+00	 -0.2436005E-01	  0.1017641E+01	  0.2635909E+00	  0.5263767E+00	  0.1899780E+01	  0.8406239E+00	 -0.2420685E+00	 -0.6479222E-02	  0.6782411E+01
  0.6150000E+00	  0.3636044E+00	  0.6732859E+00	  0.7337692E+00	  0.7225264E+00	  0.4270650E+00	  0.2895946E+00	  0.4642526E+00	 -0.2477650E-01	  0.1017633E+01	  0.2579645E+00	  0.5263398E+00	  0.1899913E+01	  0.8394180E+00	 -0.2403138E+00	 -0.1068171E-01	  0.6980555E+01
  0.6200000E+00	  0.3567289E+00	  0.6690684E+00	  0.7298881E+00	  0.7187806E+00	  0.4221924E+00	  0.2842554E+00	  0.4642526E+00	 -0.2519601E-01	  0.1017619E+01	  0.2524128E+00	  0.5262853E+00	  0.1900110E+01	  0.8382207E+00	 -0.2386594E+00	 -0.1481009E-01	  0.7185190E+01
  0.6250000E+00	  0.3498535E+00	  0.6648529E+00	  0.7264216E+00	  0.7149678E+00	  0.4173583E+00	  0.2789979E+00	  0.4642526E+00	 -0.2561866E-01	  0.1017602E+01	  0.2469332E+00	  0.5262141E+00	  0.1900367E+01	  0.8370314E+00	 -0.2371170E+00	 -0.1874583E-01	  0.7400780E+01
  0.6300000E+00	  0.3429669E+00	  0.6606400E+00	  0.7229489E+00	  0.7111021E+00	  0.4125633E+00	  0.2738243E+00	  0.4642526E+00	 -0.2604448E-01	  0.1017579E+01	  0.2415204E+00	  0.5261275E+00	  0.1900680E+01	  0.8358496E+00	 -0.2357055E+00	 -0.2237668E-01	  0.7623428E+01
  0.6350000E+00	  0.3360498E+00	  0.6564280E+00	  0.7190518E+00	  0.7071983E+00	  0.4078076E+00	  0.2687373E+00	  0.4642526E+00	 -0.2647347E-01	  0.1017553E+01	  0.2361691E+00	  0.5260272E+00	  0.1901042E+01	  0.8346744E+00	 -0.2344477E+00	 -0.2571949E-01	  0.7848682E+01
  0.6400000E+00	  0.3290503E+00	  0.6522116E+00	  0.7151733E+00	  0.7032665E+00	  0.4030928E+00	  0.2637378E+00	  0.4642526E+00	 -0.2690571E-01	  0.1017522E+01	  0.2308778E+00	  0.5259144E+00	  0.1901450E+01	  0.8335051E+00	 -0.2333908E+00	 -0.2909386E-01	  0.8081272E+01
  0.6450000E+00	  0.3219219E+00	  0.6479874E+00	  0.7117533E+00	  0.6993183E+00	  0.3984203E+00	  0.2588269E+00	  0.4642526E+00	 -0.2734093E-01	  0.1017488E+01	  0.2256451E+00	  0.5257881E+00	  0.1901907E+01	  0.8323405E+00	 -0.2326087E+00	 -0.3391180E-01	  0.8326536E+01
  0.6500000E+00	  0.3146698E+00	  0.6437610E+00	  0.7083580E+00	  0.6953781E+00	  0.3937911E+00	  0.2540072E+00	  0.4642526E+00	 -0.2777855E-01	  0.1017449E+01	  0.2204692E+00	  0.5256380E+00	  0.1902450E+01	  0.8311790E+00	 -0.2321869E+00	 -0.4184290E-01	  0.8579754E+01
  0.6550000E+00	  0.3073073E+00	  0.6395374E+00	  0.7045520E+00	  0.6914730E+00	  0.3892062E+00	  0.2492810E+00	  0.4642526E+00	 -0.2821804E-01	  0.1017408E+01	  0.2153506E+00	  0.5254497E+00	  0.1903132E+01	  0.8300186E+00	 -0.2322198E+00	 -0.5437261E-01	  0.8835453E+01
  0.6600000E+00	  0.2998255E+00	  0.6353103E+00	  0.7007682E+00	  0.6876293E+00	  0.3846667E+00	  0.2446492E+00	  0.4642526E+00	 -0.2865857E-01	  0.1017363E+01	  0.2102918E+00	  0.5252018E+00	  0.1904030E+01	  0.8288568E+00	 -0.2328136E+00	 -0.7270451E-01	  0.9098893E+01
  0.6650000E+00	  0.2922190E+00	  0.6310740E+00	  0.6974407E+00	  0.6838672E+00	  0.3801738E+00	  0.2401122E+00	  0.4642526E+00	 -0.2909862E-01	  0.1017317E+01	  0.2052969E+00	  0.5248712E+00	  0.1905229E+01	  0.8276905E+00	 -0.2340464E+00	 -0.9701357E-01	  0.9376078E+01
  0.6700000E+00	  0.2845172E+00	  0.6268375E+00	  0.6941388E+00	  0.6801851E+00	  0.3757279E+00	  0.2356732E+00	  0.4642526E+00	 -0.2953662E-01	  0.1017269E+01	  0.2003695E+00	  0.5244361E+00	  0.1906810E+01	  0.8265163E+00	 -0.2359410E+00	 -0.1272668E+00	  0.9661438E+01
  0.6750000E+00	  0.2767480E+00	  0.6226098E+00	  0.6904296E+00	  0.6765758E+00	  0.3713294E+00	  0.2313349E+00	  0.4642526E+00	 -0.2997114E-01	  0.1017220E+01	  0.1955128E+00	  0.5238750E+00	  0.1908852E+01	  0.8253311E+00	 -0.2384769E+00	 -0.1636775E+00	  0.9948493E+01
  0.6800000E+00	  0.2688997E+00	  0.6183868E+00	  0.6867349E+00	  0.6730321E+00	  0.3669798E+00	  0.2270980E+00	  0.4642526E+00	 -0.3040123E-01	  0.1017170E+01	  0.1907309E+00	  0.5231658E+00	  0.1911440E+01	  0.8241316E+00	 -0.2416284E+00	 -0.2064292E+00	  0.1024294E+02
  0.6850000E+00	  0.2609625E+00	  0.6141625E+00	  0.6834774E+00	  0.6695496E+00	  0.3626806E+00	  0.2229626E+00	  0.4642526E+00	 -0.3082553E-01	  0.1017121E+01	  0.1860273E+00	  0.5222868E+00	  0.1914657E+01	  0.8229148E+00	 -0.2453894E+00	 -0.2553519E+00	  0.1055136E+02
  0.6900000E+00	  0.2529729E+00	  0.6099362E+00	  0.6802294E+00	  0.6661337E+00	  0.3584326E+00	  0.2189310E+00	  0.4642526E+00	 -0.3124245E-01	  0.1017074E+01	  0.1814055E+00	  0.5212188E+00	  0.1918580E+01	  0.8216777E+00	 -0.2497408E+00	 -0.3102140E+00	  0.1086740E+02
  0.6950000E+00	  0.2449812E+00	  0.6057093E+00	  0.6765613E+00	  0.6627860E+00	  0.3542365E+00	  0.2150055E+00	  0.4642526E+00	 -0.3165106E-01	  0.1017027E+01	  0.1768686E+00	  0.5199435E+00	  0.1923286E+01	  0.8204174E+00	 -0.2546686E+00	 -0.3709546E+00	  0.1118367E+02
  0.7000000E+00	  0.2370461E+00	  0.6014855E+00	  0.6728874E+00	  0.6594845E+00	  0.3500930E+00	  0.2111873E+00	  0.4642526E+00	 -0.3205016E-01	  0.1016983E+01	  0.1724190E+00	  0.5184436E+00	  0.1928850E+01	  0.8191310E+00	 -0.2601712E+00	 -0.4373357E+00	  0.1150618E+02
  0.7050000E+00	  0.2292084E+00	  0.5972683E+00	  0.6696239E+00	  0.6562040E+00	  0.3460030E+00	  0.2074776E+00	  0.4642526E+00	 -0.3243830E-01	  0.1016941E+01	  0.1680582E+00	  0.5167045E+00	  0.1935342E+01	  0.8178157E+00	 -0.2662173E+00	 -0.5082806E+00	  0.1184187E+02
  0.7100000E+00	  0.2214286E+00	  0.5930571E+00	  0.6663509E+00	  0.6529307E+00	  0.3419678E+00	  0.2038780E+00	  0.4642526E+00	 -0.3281436E-01	  0.1016903E+01	  0.1637878E+00	  0.5147184E+00	  0.1942810E+01	  0.8164688E+00	 -0.2727386E+00	 -0.5826887E+00	  0.1218334E+02
  0.7150000E+00	  0.2136675E+00	  0.5888512E+00	  0.6626503E+00	  0.6496615E+00	  0.3379888E+00	  0.2003902E+00	  0.4642526E+00	 -0.3317750E-01	  0.1016869E+01	  0.1596088E+00	  0.5124802E+00	  0.1951295E+01	  0.8150883E+00	 -0.2796588E+00	 -0.6603165E+00	  0.1252217E+02
  0.7200000E+00	  0.2059657E+00	  0.5846510E+00	  0.6589470E+00	  0.6464262E+00	  0.3340670E+00	  0.1970145E+00	  0.4642526E+00	 -0.3352711E-01	  0.1016839E+01	  0.1555221E+00	  0.5099855E+00	  0.1960840E+01	  0.8136722E+00	 -0.2869196E+00	 -0.7410889E+00	  0.1286537E+02
  0.7250000E+00	  0.1983624E+00	  0.5804567E+00	  0.6556650E+00	  0.6432603E+00	  0.3302030E+00	  0.1937513E+00	  0.4642526E+00	 -0.3386261E-01	  0.1016814E+01	  0.1515276E+00	  0.5072310E+00	  0.1971488E+01	  0.8122191E+00	 -0.2944873E+00	 -0.8247625E+00	  0.1322090E+02
  0.7300000E+00	  0.1908121E+00	  0.5762670E+00	  0.6523795E+00	  0.6401905E+00	  0.3263975E+00	  0.1906023E+00	  0.4642526E+00	 -0.3418331E-01	  0.1016794E+01	  0.1476270E+00	  0.5042152E+00	  0.1983280E+01	  0.8107274E+00	 -0.3023408E+00	 -0.9110640E+00	  0.1358001E+02
  0.7350000E+00	  0.1832741E+00	  0.5720817E+00	  0.6486657E+00	  0.6372437E+00	  0.3226509E+00	  0.1875692E+00	  0.4642526E+00	 -0.3448860E-01	  0.1016778E+01	  0.1438230E+00	  0.5009382E+00	  0.1996254E+01	  0.8091957E+00	 -0.3104611E+00	 -0.9998055E+00	  0.1393272E+02
  0.7400000E+00	  0.1758131E+00	  0.5679054E+00	  0.6449447E+00	  0.6344567E+00	  0.3189642E+00	  0.1846526E+00	  0.4642526E+00	 -0.3477803E-01	  0.1016768E+01	  0.1401173E+00	  0.4974011E+00	  0.2010450E+01	  0.8076227E+00	 -0.3188279E+00	 -0.1090844E+01	  0.1428660E+02
  0.7450000E+00	  0.1684941E+00	  0.5637420E+00	  0.6416372E+00	  0.6318751E+00	  0.3153384E+00	  0.1818526E+00	  0.4642526E+00	 -0.3505098E-01	  0.1016763E+01	  0.1365125E+00	  0.4936060E+00	  0.2025907E+01	  0.8060074E+00	 -0.3274165E+00	 -0.1184159E+01	  0.1465026E+02
  0.7500000E+00	  0.1612780E+00	  0.5595881E+00	  0.6383152E+00	  0.6295689E+00	  0.3117740E+00	  0.1791693E+00	  0.4642526E+00	 -0.3530710E-01	  0.1016763E+01	  0.1330099E+00	  0.4895553E+00	  0.2042670E+01	  0.8043486E+00	 -0.3361988E+00	 -0.1279686E+01	  0.1501367E+02
  0.7550000E+00	  0.1541193E+00	  0.5554391E+00	  0.6345537E+00	  0.6276092E+00	  0.3082715E+00	  0.1766026E+00	  0.4642526E+00	 -0.3554642E-01	  0.1016769E+01	  0.1296088E+00	  0.4852529E+00	  0.2060781E+01	  0.8026454E+00	 -0.3451668E+00	 -0.1377089E+01	  0.1536568E+02
  0.7600000E+00	  0.1470521E+00	  0.5512932E+00	  0.6307874E+00	  0.6260467E+00	  0.3048319E+00	  0.1741523E+00	  0.4642526E+00	 -0.3576870E-01	  0.1016780E+01	  0.1263097E+00	  0.4807045E+00	  0.2080280E+01	  0.8008969E+00	 -0.3543273E+00	 -0.1475961E+01	  0.1571529E+02
  0.7650000E+00	  0.1401154E+00	  0.5471509E+00	  0.6274482E+00	  0.6249222E+00	  0.3014565E+00	  0.1718176E+00	  0.4642526E+00	 -0.3597363E-01	  0.1016796E+01	  0.1231130E+00	  0.4759174E+00	  0.2101205E+01	  0.7991021E+00	 -0.3636704E+00	 -0.1575889E+01	  0.1607256E+02
  0.7700000E+00	  0.1332901E+00	  0.5430204E+00	  0.6240960E+00	  0.6242554E+00	  0.2981447E+00	  0.1695978E+00	  0.4642526E+00	 -0.3616112E-01	  0.1016818E+01	  0.1200185E+00	  0.4709007E+00	  0.2123590E+01	  0.7972602E+00	 -0.3731588E+00	 -0.1676571E+01	  0.1642558E+02
