       r	   dnnbi(m^-3)	    dne(m^-3)	    dni(m^-3)	     tbn(keV)	     ti(keV)	     te(keV)	   vzt_eq(m/s)	   vth_eq(m/s)	  vthermalep(m/s)	       etann(MKS)
  0.6150000E+00	  0.2351465E+19	  0.3027565E+20	  0.2368628E+20	  0.3174829E+05	  0.2530249E+04	  0.1546380E+04	  0.0000000E+00	  0.0000000E+00	  0.1233270E+07	  0.6980555E+01
  0.6200000E+00	  0.2307000E+19	  0.3008600E+20	  0.2356100E+20	  0.3158370E+05	  0.2501380E+04	  0.1517870E+04	  0.0000000E+00	  0.0000000E+00	  0.1230069E+07	  0.7185190E+01
  0.6250000E+00	  0.2262536E+19	  0.2989644E+20	  0.2344910E+20	  0.3141616E+05	  0.2472740E+04	  0.1489796E+04	  0.0000000E+00	  0.0000000E+00	  0.1226803E+07	  0.7400780E+01
  0.6300000E+00	  0.2218000E+19	  0.2970700E+20	  0.2333700E+20	  0.3124630E+05	  0.2444330E+04	  0.1462170E+04	  0.0000000E+00	  0.0000000E+00	  0.1223482E+07	  0.7623428E+01
  0.6350000E+00	  0.2173266E+19	  0.2951760E+20	  0.2321120E+20	  0.3107477E+05	  0.2416154E+04	  0.1435006E+04	  0.0000000E+00	  0.0000000E+00	  0.1220119E+07	  0.7848682E+01
  0.6400000E+00	  0.2128000E+19	  0.2932800E+20	  0.2308600E+20	  0.3090200E+05	  0.2388220E+04	  0.1408310E+04	  0.0000000E+00	  0.0000000E+00	  0.1216722E+07	  0.8081272E+01
  0.6450000E+00	  0.2081900E+19	  0.2913805E+20	  0.2297560E+20	  0.3072852E+05	  0.2360537E+04	  0.1382087E+04	  0.0000000E+00	  0.0000000E+00	  0.1213302E+07	  0.8326536E+01
  0.6500000E+00	  0.2035000E+19	  0.2894800E+20	  0.2286600E+20	  0.3055538E+05	  0.2333110E+04	  0.1356350E+04	  0.0000000E+00	  0.0000000E+00	  0.1209879E+07	  0.8579754E+01
  0.6550000E+00	  0.1987386E+19	  0.2875808E+20	  0.2274314E+20	  0.3038379E+05	  0.2305945E+04	  0.1331113E+04	  0.0000000E+00	  0.0000000E+00	  0.1206477E+07	  0.8835453E+01
  0.6600000E+00	  0.1939000E+19	  0.2856800E+20	  0.2262100E+20	  0.3021489E+05	  0.2279050E+04	  0.1306380E+04	  0.0000000E+00	  0.0000000E+00	  0.1203119E+07	  0.9098893E+01
  0.6650000E+00	  0.1889809E+19	  0.2837751E+20	  0.2251359E+20	  0.3004958E+05	  0.2252431E+04	  0.1282154E+04	  0.0000000E+00	  0.0000000E+00	  0.1199823E+07	  0.9376078E+01
  0.6700000E+00	  0.1840000E+19	  0.2818700E+20	  0.2240700E+20	  0.2988779E+05	  0.2226090E+04	  0.1258450E+04	  0.0000000E+00	  0.0000000E+00	  0.1196589E+07	  0.9661438E+01
  0.6750000E+00	  0.1789756E+19	  0.2799689E+20	  0.2228727E+20	  0.2972919E+05	  0.2200030E+04	  0.1235285E+04	  0.0000000E+00	  0.0000000E+00	  0.1193410E+07	  0.9948493E+01
  0.6800000E+00	  0.1739000E+19	  0.2780700E+20	  0.2216800E+20	  0.2957348E+05	  0.2174260E+04	  0.1212660E+04	  0.0000000E+00	  0.0000000E+00	  0.1190281E+07	  0.1024294E+02
  0.6850000E+00	  0.1687669E+19	  0.2761704E+20	  0.2206285E+20	  0.2942046E+05	  0.2148788E+04	  0.1190578E+04	  0.0000000E+00	  0.0000000E+00	  0.1187197E+07	  0.1055136E+02
  0.6900000E+00	  0.1636000E+19	  0.2742700E+20	  0.2195800E+20	  0.2927036E+05	  0.2123620E+04	  0.1169050E+04	  0.0000000E+00	  0.0000000E+00	  0.1184165E+07	  0.1086740E+02
  0.6950000E+00	  0.1584317E+19	  0.2723693E+20	  0.2183959E+20	  0.2912326E+05	  0.2098759E+04	  0.1148088E+04	  0.0000000E+00	  0.0000000E+00	  0.1181186E+07	  0.1118367E+02
  0.7000000E+00	  0.1533000E+19	  0.2704700E+20	  0.2172100E+20	  0.2897819E+05	  0.2074210E+04	  0.1127700E+04	  0.0000000E+00	  0.0000000E+00	  0.1178240E+07	  0.1150618E+02
  0.7050000E+00	  0.1482312E+19	  0.2685736E+20	  0.2161565E+20	  0.2883404E+05	  0.2049978E+04	  0.1107891E+04	  0.0000000E+00	  0.0000000E+00	  0.1175306E+07	  0.1184187E+02
  0.7100000E+00	  0.1432000E+19	  0.2666800E+20	  0.2151000E+20	  0.2869021E+05	  0.2026070E+04	  0.1088670E+04	  0.0000000E+00	  0.0000000E+00	  0.1172371E+07	  0.1218334E+02
  0.7150000E+00	  0.1381808E+19	  0.2647887E+20	  0.2139054E+20	  0.2854656E+05	  0.2002496E+04	  0.1070046E+04	  0.0000000E+00	  0.0000000E+00	  0.1169432E+07	  0.1252217E+02
  0.7200000E+00	  0.1332000E+19	  0.2629000E+20	  0.2127100E+20	  0.2840440E+05	  0.1979260E+04	  0.1052020E+04	  0.0000000E+00	  0.0000000E+00	  0.1166517E+07	  0.1286537E+02
  0.7250000E+00	  0.1282829E+19	  0.2610140E+20	  0.2116505E+20	  0.2826529E+05	  0.1956367E+04	  0.1034595E+04	  0.0000000E+00	  0.0000000E+00	  0.1163657E+07	  0.1322090E+02
  0.7300000E+00	  0.1234000E+19	  0.2591300E+20	  0.2105900E+20	  0.2813040E+05	  0.1933820E+04	  0.1017780E+04	  0.0000000E+00	  0.0000000E+00	  0.1160877E+07	  0.1358001E+02
  0.7350000E+00	  0.1185251E+19	  0.2572480E+20	  0.2093912E+20	  0.2800091E+05	  0.1911622E+04	  0.1001584E+04	  0.0000000E+00	  0.0000000E+00	  0.1158202E+07	  0.1393272E+02
  0.7400000E+00	  0.1137000E+19	  0.2553700E+20	  0.2081900E+20	  0.2787845E+05	  0.1889780E+04	  0.9860100E+03	  0.0000000E+00	  0.0000000E+00	  0.1155666E+07	  0.1428660E+02
  0.7450000E+00	  0.1089667E+19	  0.2534979E+20	  0.2071223E+20	  0.2776501E+05	  0.1868298E+04	  0.9710584E+03	  0.0000000E+00	  0.0000000E+00	  0.1153313E+07	  0.1465026E+02
  0.7500000E+00	  0.1043000E+19	  0.2516300E+20	  0.2060500E+20	  0.2766368E+05	  0.1847180E+04	  0.9567300E+03	  0.0000000E+00	  0.0000000E+00	  0.1151206E+07	  0.1501367E+02
  0.7550000E+00	  0.9967045E+18	  0.2497643E+20	  0.2048358E+20	  0.2757757E+05	  0.1826428E+04	  0.9430246E+03	  0.0000000E+00	  0.0000000E+00	  0.1149413E+07	  0.1536568E+02
  0.7600000E+00	  0.9510000E+18	  0.2479000E+20	  0.2036200E+20	  0.2750891E+05	  0.1806050E+04	  0.9299400E+03	  0.0000000E+00	  0.0000000E+00	  0.1147981E+07	  0.1571529E+02
  0.7650000E+00	  0.9061399E+18	  0.2460374E+20	  0.2025421E+20	  0.2745950E+05	  0.1786051E+04	  0.9174732E+03	  0.0000000E+00	  0.0000000E+00	  0.1146950E+07	  0.1607256E+02
  0.7700000E+00	  0.8620000E+18	  0.2441800E+20	  0.2014600E+20	  0.2743020E+05	  0.1766430E+04	  0.9056200E+03	  0.0000000E+00	  0.0000000E+00	  0.1146338E+07	  0.1642558E+02
  0.7750000E+00	  0.8184862E+18	  0.2423312E+20	  0.2002321E+20	  0.2742160E+05	  0.1747183E+04	  0.8943740E+03	  0.0000000E+00	  0.0000000E+00	  0.1146158E+07	  0.1676125E+02
  0.7800000E+00	  0.7760000E+18	  0.2404900E+20	  0.1990000E+20	  0.2743411E+05	  0.1728310E+04	  0.8837200E+03	  0.0000000E+00	  0.0000000E+00	  0.1146420E+07	  0.1709011E+02
  0.7850000E+00	  0.7349154E+18	  0.2386540E+20	  0.1979045E+20	  0.2746767E+05	  0.1709813E+04	  0.8736409E+03	  0.0000000E+00	  0.0000000E+00	  0.1147120E+07	  0.1742402E+02
  0.7900000E+00	  0.6950000E+18	  0.2368200E+20	  0.1968000E+20	  0.2752057E+05	  0.1691690E+04	  0.8641200E+03	  0.0000000E+00	  0.0000000E+00	  0.1148225E+07	  0.1775033E+02
  0.7950000E+00	  0.6559773E+18	  0.2349867E+20	  0.1955424E+20	  0.2759070E+05	  0.1673938E+04	  0.8551375E+03	  0.0000000E+00	  0.0000000E+00	  0.1149687E+07	  0.1805529E+02
  0.8000000E+00	  0.6180000E+18	  0.2331600E+20	  0.1942800E+20	  0.2767591E+05	  0.1656550E+04	  0.8466600E+03	  0.0000000E+00	  0.0000000E+00	  0.1151461E+07	  0.1835149E+02
  0.8050000E+00	  0.5813005E+18	  0.2313456E+20	  0.1931598E+20	  0.2777428E+05	  0.1639513E+04	  0.8386492E+03	  0.0000000E+00	  0.0000000E+00	  0.1153505E+07	  0.1865288E+02
  0.8100000E+00	  0.5460000E+18	  0.2295400E+20	  0.1920300E+20	  0.2788469E+05	  0.1622810E+04	  0.8310600E+03	  0.0000000E+00	  0.0000000E+00	  0.1155796E+07	  0.1894624E+02
  0.8150000E+00	  0.5121958E+18	  0.2277384E+20	  0.1907397E+20	  0.2800616E+05	  0.1606419E+04	  0.8238433E+03	  0.0000000E+00	  0.0000000E+00	  0.1158310E+07	  0.1921758E+02
  0.8200000E+00	  0.4800000E+18	  0.2259400E+20	  0.1894400E+20	  0.2813741E+05	  0.1590320E+04	  0.8169400E+03	  0.0000000E+00	  0.0000000E+00	  0.1161021E+07	  0.1948293E+02
  0.8250000E+00	  0.4494163E+18	  0.2241457E+20	  0.1882828E+20	  0.2827699E+05	  0.1574488E+04	  0.8102839E+03	  0.0000000E+00	  0.0000000E+00	  0.1163897E+07	  0.1975992E+02
  0.8300000E+00	  0.4200000E+18	  0.2223600E+20	  0.1871200E+20	  0.2842293E+05	  0.1558880E+04	  0.8037900E+03	  0.0000000E+00	  0.0000000E+00	  0.1166897E+07	  0.2003598E+02
  0.8350000E+00	  0.3913891E+18	  0.2205863E+20	  0.1858029E+20	  0.2857351E+05	  0.1543445E+04	  0.7973674E+03	  0.0000000E+00	  0.0000000E+00	  0.1169984E+07	  0.2029772E+02
  0.8400000E+00	  0.3640000E+18	  0.2188200E+20	  0.1844800E+20	  0.2872838E+05	  0.1528120E+04	  0.7909200E+03	  0.0000000E+00	  0.0000000E+00	  0.1173150E+07	  0.2056479E+02
  0.8450000E+00	  0.3382772E+18	  0.2170567E+20	  0.1832993E+20	  0.2888765E+05	  0.1512831E+04	  0.7843478E+03	  0.0000000E+00	  0.0000000E+00	  0.1176398E+07	  0.2085861E+02
  0.8500000E+00	  0.3140000E+18	  0.2153000E+20	  0.1821100E+20	  0.2905181E+05	  0.1497480E+04	  0.7775400E+03	  0.0000000E+00	  0.0000000E+00	  0.1179736E+07	  0.2116735E+02
  0.8550000E+00	  0.2908771E+18	  0.2135543E+20	  0.1807624E+20	  0.2922114E+05	  0.1481955E+04	  0.7703865E+03	  0.0000000E+00	  0.0000000E+00	  0.1183169E+07	  0.2147819E+02
  0.8600000E+00	  0.2690000E+18	  0.2118200E+20	  0.1794100E+20	  0.2939471E+05	  0.1466110E+04	  0.7627900E+03	  0.0000000E+00	  0.0000000E+00	  0.1186678E+07	  0.2181389E+02
  0.8650000E+00	  0.2484643E+18	  0.2100959E+20	  0.1782060E+20	  0.2957159E+05	  0.1449777E+04	  0.7546601E+03	  0.0000000E+00	  0.0000000E+00	  0.1190243E+07	  0.2219926E+02
  0.8700000E+00	  0.2290000E+18	  0.2083800E+20	  0.1770000E+20	  0.2975199E+05	  0.1432750E+04	  0.7459200E+03	  0.0000000E+00	  0.0000000E+00	  0.1193868E+07	  0.2262245E+02
  0.8750000E+00	  0.2103907E+18	  0.2066708E+20	  0.1756412E+20	  0.2993681E+05	  0.1414794E+04	  0.7365082E+03	  0.0000000E+00	  0.0000000E+00	  0.1197570E+07	  0.2306970E+02
  0.8800000E+00	  0.1930000E+18	  0.2049700E+20	  0.1742800E+20	  0.3012848E+05	  0.1395610E+04	  0.7264100E+03	  0.0000000E+00	  0.0000000E+00	  0.1201398E+07	  0.2356380E+02
  0.8850000E+00	  0.1770979E+18	  0.2032797E+20	  0.1730666E+20	  0.3032984E+05	  0.1374870E+04	  0.7156335E+03	  0.0000000E+00	  0.0000000E+00	  0.1205406E+07	  0.2412927E+02
  0.8900000E+00	  0.1620000E+18	  0.2016000E+20	  0.1718500E+20	  0.3054369E+05	  0.1352190E+04	  0.7042300E+03	  0.0000000E+00	  0.0000000E+00	  0.1209648E+07	  0.2474845E+02
  0.8950000E+00	  0.1470927E+18	  0.1999303E+20	  0.1704797E+20	  0.3077206E+05	  0.1327158E+04	  0.6922740E+03	  0.0000000E+00	  0.0000000E+00	  0.1214161E+07	  0.2540025E+02
  0.9000000E+00	  0.1330000E+18	  0.1982700E+20	  0.1691100E+20	  0.3101392E+05	  0.1299310E+04	  0.6798900E+03	  0.0000000E+00	  0.0000000E+00	  0.1218924E+07	  0.2610449E+02
  0.9050000E+00	  0.1204062E+18	  0.1966192E+20	  0.1678945E+20	  0.3126788E+05	  0.1268170E+04	  0.6672180E+03	  0.0000000E+00	  0.0000000E+00	  0.1223904E+07	  0.2688252E+02
  0.9100000E+00	  0.1090000E+18	  0.1949800E+20	  0.1666800E+20	  0.3153427E+05	  0.1233270E+04	  0.6544100E+03	  0.0000000E+00	  0.0000000E+00	  0.1229107E+07	  0.2770635E+02
  0.9150000E+00	  0.9828245E+17	  0.1933544E+20	  0.1653136E+20	  0.3181368E+05	  0.1194176E+04	  0.6416217E+03	  0.0000000E+00	  0.0000000E+00	  0.1234540E+07	  0.2854281E+02
  0.9200000E+00	  0.8800000E+17	  0.1917400E+20	  0.1639500E+20	  0.3210593E+05	  0.1150580E+04	  0.6290100E+03	  0.0000000E+00	  0.0000000E+00	  0.1240197E+07	  0.2940852E+02
  0.9250000E+00	  0.7808901E+17	  0.1901346E+20	  0.1627438E+20	  0.3240975E+05	  0.1102279E+04	  0.6167254E+03	  0.0000000E+00	  0.0000000E+00	  0.1246052E+07	  0.3032259E+02
  0.9300000E+00	  0.6900000E+17	  0.1885400E+20	  0.1615400E+20	  0.3272039E+05	  0.1049350E+04	  0.6048900E+03	  0.0000000E+00	  0.0000000E+00	  0.1252009E+07	  0.3124804E+02
  0.9350000E+00	  0.6111153E+17	  0.1869585E+20	  0.1601838E+20	  0.3303273E+05	  0.9920458E+03	  0.5936105E+03	  0.0000000E+00	  0.0000000E+00	  0.1257970E+07	  0.3214267E+02
  0.9400000E+00	  0.5400000E+17	  0.1853900E+20	  0.1588300E+20	  0.3334377E+05	  0.9310300E+03	  0.5829600E+03	  0.0000000E+00	  0.0000000E+00	  0.1263879E+07	  0.3302547E+02
  0.9450000E+00	  0.4721489E+17	  0.1838339E+20	  0.1576334E+20	  0.3365193E+05	  0.8671579E+03	  0.5729950E+03	  0.0000000E+00	  0.0000000E+00	  0.1269706E+07	  0.3392010E+02
  0.9500000E+00	  0.4100000E+17	  0.1822900E+20	  0.1564400E+20	  0.3395923E+05	  0.8016400E+03	  0.5637400E+03	  0.0000000E+00	  0.0000000E+00	  0.1275490E+07	  0.3478785E+02
  0.9550000E+00	  0.3565392E+17	  0.1807584E+20	  0.1550965E+20	  0.3426761E+05	  0.7357949E+03	  0.5552069E+03	  0.0000000E+00	  0.0000000E+00	  0.1281268E+07	  0.3558625E+02
  0.9600000E+00	  0.3100000E+17	  0.1792400E+20	  0.1537600E+20	  0.3457505E+05	  0.6710200E+03	  0.5473900E+03	  0.0000000E+00	  0.0000000E+00	  0.1287003E+07	  0.3634327E+02
  0.9650000E+00	  0.2679444E+17	  0.1777351E+20	  0.1525869E+20	  0.3487777E+05	  0.6086699E+03	  0.5402736E+03	  0.0000000E+00	  0.0000000E+00	  0.1292625E+07	  0.3709234E+02
  0.9700000E+00	  0.2300000E+17	  0.1762400E+20	  0.1514200E+20	  0.3516885E+05	  0.5498500E+03	  0.5338200E+03	  0.0000000E+00	  0.0000000E+00	  0.1298008E+07	  0.3779613E+02
  0.9750000E+00	  0.1966832E+17	  0.1747548E+20	  0.1501022E+20	  0.3544381E+05	  0.4955028E+03	  0.5279876E+03	  0.0000000E+00	  0.0000000E+00	  0.1303072E+07	  0.3841344E+02
  0.9800000E+00	  0.1700000E+17	  0.1733000E+20	  0.1487900E+20	  0.3571094E+05	  0.4461700E+03	  0.5227400E+03	  0.0000000E+00	  0.0000000E+00	  0.1307973E+07	  0.3897691E+02
  0.9850000E+00	  0.1515726E+17	  0.1719431E+20	  0.1476942E+20	  0.3597388E+05	  0.4021850E+03	  0.5180397E+03	  0.0000000E+00	  0.0000000E+00	  0.1312780E+07	  0.3952710E+02
  0.9900000E+00	  0.1400000E+17	  0.1709200E+20	  0.1469300E+20	  0.3620478E+05	  0.3634500E+03	  0.5138400E+03	  0.0000000E+00	  0.0000000E+00	  0.1316986E+07	  0.4004392E+02
  0.9950000E+00	  0.1332762E+17	  0.1705003E+20	  0.1465935E+20	  0.3636948E+05	  0.3297809E+03	  0.5100923E+03	  0.0000000E+00	  0.0000000E+00	  0.1319978E+07	  0.4049275E+02
  0.1000000E+01	  0.1300000E+17	  0.1709200E+20	  0.1468000E+20	  0.3644014E+05	  0.3010800E+03	  0.5067500E+03	  0.0000000E+00	  0.0000000E+00	  0.1321260E+07	  0.4085107E+02
