       r	   dnnbi(m^-3)	    dne(m^-3)	    dni(m^-3)	     tbn(keV)	     ti(keV)	     te(keV)	   vzt_eq(m/s)	   vth_eq(m/s)	  vthermalep(m/s)	       etann(MKS)
  0.5000000E-01	  0.6452000E+19	  0.4488100E+20	  0.3214600E+20	  0.4393961E+05	  0.5787490E+04	  0.5218110E+04	  0.0000000E+00	  0.0000000E+00	  0.1450862E+07	  0.1030992E+01
  0.5500000E-01	  0.6458752E+19	  0.4485737E+20	  0.3211851E+20	  0.4394067E+05	  0.5771202E+04	  0.5202131E+04	  0.0000000E+00	  0.0000000E+00	  0.1450880E+07	  0.1035405E+01
  0.6000000E-01	  0.6464000E+19	  0.4483100E+20	  0.3208900E+20	  0.4393516E+05	  0.5754470E+04	  0.5185500E+04	  0.0000000E+00	  0.0000000E+00	  0.1450789E+07	  0.1040046E+01
  0.6500000E-01	  0.6467096E+19	  0.4480229E+20	  0.3206024E+20	  0.4392439E+05	  0.5737296E+04	  0.5168227E+04	  0.0000000E+00	  0.0000000E+00	  0.1450611E+07	  0.1044997E+01
  0.7000000E-01	  0.6466000E+19	  0.4477100E+20	  0.3203200E+20	  0.4390989E+05	  0.5719690E+04	  0.5150320E+04	  0.0000000E+00	  0.0000000E+00	  0.1450372E+07	  0.1050260E+01
  0.7500000E-01	  0.6458865E+19	  0.4473685E+20	  0.3200492E+20	  0.4389288E+05	  0.5701664E+04	  0.5131789E+04	  0.0000000E+00	  0.0000000E+00	  0.1450091E+07	  0.1055867E+01
  0.8000000E-01	  0.6446000E+19	  0.4470000E+20	  0.3198600E+20	  0.4387309E+05	  0.5683220E+04	  0.5112640E+04	  0.0000000E+00	  0.0000000E+00	  0.1449764E+07	  0.1062051E+01
  0.8500000E-01	  0.6428444E+19	  0.4466070E+20	  0.3197933E+20	  0.4384981E+05	  0.5664360E+04	  0.5092882E+04	  0.0000000E+00	  0.0000000E+00	  0.1449379E+07	  0.1068954E+01
  0.9000000E-01	  0.6408000E+19	  0.4461900E+20	  0.3197100E+20	  0.4382215E+05	  0.5645090E+04	  0.5072530E+04	  0.0000000E+00	  0.0000000E+00	  0.1448922E+07	  0.1076119E+01
  0.9500000E-01	  0.6386485E+19	  0.4457486E+20	  0.3194852E+20	  0.4378941E+05	  0.5625417E+04	  0.5051597E+04	  0.0000000E+00	  0.0000000E+00	  0.1448381E+07	  0.1083125E+01
  0.1000000E+00	  0.6365000E+19	  0.4452800E+20	  0.3192300E+20	  0.4375195E+05	  0.5605350E+04	  0.5030090E+04	  0.0000000E+00	  0.0000000E+00	  0.1447761E+07	  0.1090355E+01
  0.1050000E+00	  0.6344117E+19	  0.4447825E+20	  0.3190610E+20	  0.4371034E+05	  0.5584896E+04	  0.5008013E+04	  0.0000000E+00	  0.0000000E+00	  0.1447072E+07	  0.1098218E+01
  0.1100000E+00	  0.6323000E+19	  0.4442600E+20	  0.3188800E+20	  0.4366494E+05	  0.5564060E+04	  0.4985380E+04	  0.0000000E+00	  0.0000000E+00	  0.1446321E+07	  0.1106378E+01
  0.1150000E+00	  0.6300798E+19	  0.4437165E+20	  0.3185860E+20	  0.4361606E+05	  0.5542847E+04	  0.4962204E+04	  0.0000000E+00	  0.0000000E+00	  0.1445511E+07	  0.1114474E+01
  0.1200000E+00	  0.6278000E+19	  0.4431500E+20	  0.3182800E+20	  0.4356399E+05	  0.5521260E+04	  0.4938490E+04	  0.0000000E+00	  0.0000000E+00	  0.1444648E+07	  0.1122867E+01
  0.1250000E+00	  0.6255315E+19	  0.4425579E+20	  0.3180588E+20	  0.4350922E+05	  0.5499305E+04	  0.4914245E+04	  0.0000000E+00	  0.0000000E+00	  0.1443739E+07	  0.1131913E+01
  0.1300000E+00	  0.6233000E+19	  0.4419400E+20	  0.3178000E+20	  0.4345298E+05	  0.5476990E+04	  0.4889480E+04	  0.0000000E+00	  0.0000000E+00	  0.1442806E+07	  0.1141189E+01
  0.1350000E+00	  0.6211066E+19	  0.4412968E+20	  0.3173900E+20	  0.4339662E+05	  0.5454323E+04	  0.4864208E+04	  0.0000000E+00	  0.0000000E+00	  0.1441870E+07	  0.1150284E+01
  0.1400000E+00	  0.6189000E+19	  0.4406300E+20	  0.3169700E+20	  0.4334113E+05	  0.5431310E+04	  0.4838440E+04	  0.0000000E+00	  0.0000000E+00	  0.1440948E+07	  0.1159703E+01
  0.1450000E+00	  0.6166296E+19	  0.4399411E+20	  0.3166761E+20	  0.4328716E+05	  0.5407954E+04	  0.4812184E+04	  0.0000000E+00	  0.0000000E+00	  0.1440050E+07	  0.1169952E+01
  0.1500000E+00	  0.6143000E+19	  0.4392300E+20	  0.3163700E+20	  0.4323438E+05	  0.5384260E+04	  0.4785450E+04	  0.0000000E+00	  0.0000000E+00	  0.1439172E+07	  0.1180538E+01
  0.1550000E+00	  0.6119376E+19	  0.4384962E+20	  0.3159120E+20	  0.4318220E+05	  0.5360231E+04	  0.4758245E+04	  0.0000000E+00	  0.0000000E+00	  0.1438303E+07	  0.1190943E+01
  0.1600000E+00	  0.6096000E+19	  0.4377400E+20	  0.3154300E+20	  0.4313002E+05	  0.5335880E+04	  0.4730580E+04	  0.0000000E+00	  0.0000000E+00	  0.1437434E+07	  0.1201645E+01
  0.1650000E+00	  0.6073202E+19	  0.4369615E+20	  0.3150546E+20	  0.4307723E+05	  0.5311216E+04	  0.4702465E+04	  0.0000000E+00	  0.0000000E+00	  0.1436554E+07	  0.1213152E+01
  0.1700000E+00	  0.6050000E+19	  0.4361600E+20	  0.3146600E+20	  0.4302323E+05	  0.5286240E+04	  0.4673910E+04	  0.0000000E+00	  0.0000000E+00	  0.1435654E+07	  0.1225000E+01
  0.1750000E+00	  0.6025442E+19	  0.4353355E+20	  0.3141220E+20	  0.4296727E+05	  0.5260951E+04	  0.4644926E+04	  0.0000000E+00	  0.0000000E+00	  0.1434720E+07	  0.1236708E+01
  0.1800000E+00	  0.6000000E+19	  0.4344900E+20	  0.3135800E+20	  0.4290792E+05	  0.5235360E+04	  0.4615520E+04	  0.0000000E+00	  0.0000000E+00	  0.1433728E+07	  0.1248816E+01
  0.1850000E+00	  0.5974282E+19	  0.4336254E+20	  0.3131685E+20	  0.4284370E+05	  0.5209479E+04	  0.4585701E+04	  0.0000000E+00	  0.0000000E+00	  0.1432655E+07	  0.1261873E+01
  0.1900000E+00	  0.5948000E+19	  0.4327400E+20	  0.3127400E+20	  0.4277354E+05	  0.5183310E+04	  0.4555480E+04	  0.0000000E+00	  0.0000000E+00	  0.1431481E+07	  0.1275311E+01
  0.1950000E+00	  0.5920683E+19	  0.4318319E+20	  0.3121515E+20	  0.4269677E+05	  0.5156854E+04	  0.4524870E+04	  0.0000000E+00	  0.0000000E+00	  0.1430196E+07	  0.1288553E+01
  0.2000000E+00	  0.5892000E+19	  0.4309000E+20	  0.3115600E+20	  0.4261374E+05	  0.5130120E+04	  0.4493880E+04	  0.0000000E+00	  0.0000000E+00	  0.1428805E+07	  0.1302248E+01
  0.2050000E+00	  0.5861738E+19	  0.4299448E+20	  0.3111206E+20	  0.4252514E+05	  0.5103117E+04	  0.4462517E+04	  0.0000000E+00	  0.0000000E+00	  0.1427319E+07	  0.1317065E+01
  0.2100000E+00	  0.5830000E+19	  0.4289700E+20	  0.3106800E+20	  0.4243193E+05	  0.5075850E+04	  0.4430790E+04	  0.0000000E+00	  0.0000000E+00	  0.1425754E+07	  0.1332372E+01
  0.2150000E+00	  0.5796991E+19	  0.4279791E+20	  0.3100835E+20	  0.4233500E+05	  0.5048321E+04	  0.4398707E+04	  0.0000000E+00	  0.0000000E+00	  0.1424124E+07	  0.1347502E+01
  0.2200000E+00	  0.5763000E+19	  0.4269700E+20	  0.3094800E+20	  0.4223480E+05	  0.5020540E+04	  0.4366280E+04	  0.0000000E+00	  0.0000000E+00	  0.1422438E+07	  0.1363103E+01
  0.2250000E+00	  0.5728299E+19	  0.4259402E+20	  0.3090180E+20	  0.4213176E+05	  0.4992515E+04	  0.4333521E+04	  0.0000000E+00	  0.0000000E+00	  0.1420702E+07	  0.1379859E+01
  0.2300000E+00	  0.5693000E+19	  0.4248900E+20	  0.3085400E+20	  0.4202675E+05	  0.4964250E+04	  0.4300440E+04	  0.0000000E+00	  0.0000000E+00	  0.1418930E+07	  0.1397097E+01
  0.2350000E+00	  0.5657189E+19	  0.4238201E+20	  0.3078921E+20	  0.4192074E+05	  0.4935746E+04	  0.4267048E+04	  0.0000000E+00	  0.0000000E+00	  0.1417140E+07	  0.1414121E+01
  0.2400000E+00	  0.5621000E+19	  0.4227300E+20	  0.3072400E+20	  0.4181478E+05	  0.4907010E+04	  0.4233350E+04	  0.0000000E+00	  0.0000000E+00	  0.1415347E+07	  0.1431691E+01
  0.2450000E+00	  0.5584570E+19	  0.4216195E+20	  0.3067451E+20	  0.4170980E+05	  0.4878048E+04	  0.4199353E+04	  0.0000000E+00	  0.0000000E+00	  0.1413570E+07	  0.1450588E+01
  0.2500000E+00	  0.5548000E+19	  0.4204900E+20	  0.3062300E+20	  0.4160628E+05	  0.4848870E+04	  0.4165070E+04	  0.0000000E+00	  0.0000000E+00	  0.1411814E+07	  0.1470007E+01
  0.2550000E+00	  0.5511408E+19	  0.4193433E+20	  0.3055202E+20	  0.4150447E+05	  0.4819483E+04	  0.4130512E+04	  0.0000000E+00	  0.0000000E+00	  0.1410086E+07	  0.1489104E+01
