r	phip	iota	I	g	pr
0.52540	-3.006907E-01	 5.240737E-01	 5.524512E-02	 3.157747E+00	 3.630042E+04
0.53522	-3.006907E-01	 5.245922E-01	 5.745822E-02	 3.158154E+00	 3.500881E+04
0.54486	-3.006907E-01	 5.250531E-01	 5.967422E-02	 3.158504E+00	 3.375852E+04
0.55434	-3.006907E-01	 5.254441E-01	 6.189151E-02	 3.158806E+00	 3.254289E+04
0.56366	-3.006907E-01	 5.257305E-01	 6.410515E-02	 3.159061E+00	 3.136411E+04
0.57282	-3.006907E-01	 5.259374E-01	 6.631654E-02	 3.159267E+00	 3.022307E+04
0.58184	-3.006907E-01	 5.260965E-01	 6.852813E-02	 3.159421E+00	 2.912283E+04
0.59073	-3.006907E-01	 5.261992E-01	 7.073769E-02	 3.159520E+00	 2.806539E+04
0.59948	-3.006907E-01	 5.262410E-01	 7.294385E-02	 3.159568E+00	 2.704911E+04
0.60810	-3.006907E-01	 5.262226E-01	 7.514600E-02	 3.159567E+00	 2.607412E+04
0.61661	-3.006907E-01	 5.261538E-01	 7.734516E-02	 3.159522E+00	 2.513432E+04
0.62500	-3.006907E-01	 5.260341E-01	 7.954087E-02	 3.159437E+00	 2.422885E+04
0.63328	-3.006907E-01	 5.258813E-01	 8.173563E-02	 3.159315E+00	 2.335283E+04
0.64145	-3.006907E-01	 5.256837E-01	 8.392772E-02	 3.159160E+00	 2.250417E+04
0.64952	-3.006907E-01	 5.254447E-01	 8.611803E-02	 3.158974E+00	 2.168105E+04
0.65749	-3.006907E-01	 5.250785E-01	 8.829343E-02	 3.158766E+00	 2.088216E+04
0.66536	-3.006907E-01	 5.245625E-01	 9.045073E-02	 3.158537E+00	 2.010800E+04
0.67315	-3.006907E-01	 5.237219E-01	 9.256047E-02	 3.158304E+00	 1.935913E+04
0.68084	-3.006907E-01	 5.225506E-01	 9.462018E-02	 3.158067E+00	 1.863581E+04
0.68845	-3.006907E-01	 5.209494E-01	 9.661014E-02	 3.157837E+00	 1.793877E+04
0.69597	-3.006907E-01	 5.188912E-01	 9.852224E-02	 3.157619E+00	 1.726799E+04
0.70341	-3.006907E-01	 5.163422E-01	 1.003465E-01	 3.157419E+00	 1.662372E+04
0.71078	-3.006907E-01	 5.132605E-01	 1.020707E-01	 3.157244E+00	 1.600526E+04
0.71807	-3.006907E-01	 5.096540E-01	 1.036914E-01	 3.157096E+00	 1.541258E+04
0.72529	-3.006907E-01	 5.055322E-01	 1.052050E-01	 3.156979E+00	 1.484463E+04
0.73243	-3.006907E-01	 5.009128E-01	 1.066098E-01	 3.156894E+00	 1.430125E+04
0.73951	-3.006907E-01	 4.958035E-01	 1.079022E-01	 3.156841E+00	 1.378239E+04
0.74652	-3.006907E-01	 4.902339E-01	 1.090833E-01	 3.156822E+00	 1.328788E+04
0.75346	-3.006907E-01	 4.842100E-01	 1.101495E-01	 3.156836E+00	 1.281761E+04
0.76035	-3.006907E-01	 4.777926E-01	 1.111094E-01	 3.156880E+00	 1.237030E+04
0.76716	-3.006907E-01	 4.709708E-01	 1.119562E-01	 3.156956E+00	 1.194614E+04
0.77392	-3.006907E-01	 4.638047E-01	 1.126998E-01	 3.157061E+00	 1.154377E+04
0.78062	-3.006907E-01	 4.563027E-01	 1.133382E-01	 3.157194E+00	 1.116286E+04
0.78727	-3.006907E-01	 4.485254E-01	 1.138821E-01	 3.157351E+00	 1.080178E+04
0.79386	-3.006907E-01	 4.405227E-01	 1.143410E-01	 3.157529E+00	 1.045834E+04
0.80039	-3.006907E-01	 4.322768E-01	 1.147085E-01	 3.157730E+00	 1.013252E+04
0.80687	-3.006907E-01	 4.238555E-01	 1.150001E-01	 3.157949E+00	 9.821810E+03
0.81330	-3.006907E-01	 4.152386E-01	 1.152078E-01	 3.158187E+00	 9.526698E+03
0.81968	-3.006907E-01	 4.065504E-01	 1.153616E-01	 3.158434E+00	 9.244384E+03
0.82601	-3.006907E-01	 3.978045E-01	 1.154632E-01	 3.158688E+00	 8.974161E+03
0.83229	-3.006907E-01	 3.890436E-01	 1.155242E-01	 3.158946E+00	 8.714506E+03
0.83853	-3.006907E-01	 3.802554E-01	 1.155412E-01	 3.159213E+00	 8.463310E+03
0.84471	-3.006907E-01	 3.714862E-01	 1.155258E-01	 3.159481E+00	 8.220732E+03
0.85086	-3.006907E-01	 3.628107E-01	 1.154975E-01	 3.159747E+00	 7.983372E+03
0.85696	-3.006907E-01	 3.542587E-01	 1.154636E-01	 3.160007E+00	 7.751780E+03
0.86301	-3.006907E-01	 3.458835E-01	 1.154420E-01	 3.160259E+00	 7.522052E+03
0.86903	-3.006907E-01	 3.376185E-01	 1.154168E-01	 3.160509E+00	 7.294137E+03
0.87500	-3.006907E-01	 3.294398E-01	 1.153864E-01	 3.160760E+00	 7.066071E+03
0.88093	-3.006907E-01	 3.213288E-01	 1.153484E-01	 3.161014E+00	 6.836471E+03
0.88682	-3.006907E-01	 3.133152E-01	 1.153155E-01	 3.161267E+00	 6.604642E+03
0.89268	-3.006907E-01	 3.053730E-01	 1.152830E-01	 3.161524E+00	 6.368194E+03
0.89849	-3.006907E-01	 2.975034E-01	 1.152592E-01	 3.161780E+00	 6.126746E+03
0.90427	-3.006907E-01	 2.896159E-01	 1.152220E-01	 3.162047E+00	 5.879044E+03
0.91001	-3.006907E-01	 2.816920E-01	 1.151704E-01	 3.162324E+00	 5.624522E+03
0.91572	-3.006907E-01	 2.737960E-01	 1.151309E-01	 3.162602E+00	 5.363032E+03
0.92139	-3.006907E-01	 2.658864E-01	 1.150965E-01	 3.162883E+00	 5.094947E+03
0.92702	-3.006907E-01	 2.578907E-01	 1.150528E-01	 3.163171E+00	 4.821476E+03
0.93263	-3.006907E-01	 2.497868E-01	 1.150072E-01	 3.163460E+00	 4.544718E+03
0.93819	-3.006907E-01	 2.415023E-01	 1.149369E-01	 3.163757E+00	 4.267608E+03
0.94373	-3.006907E-01	 2.331420E-01	 1.149015E-01	 3.164035E+00	 3.993721E+03
0.94923	-3.006907E-01	 2.244581E-01	 1.148277E-01	 3.164313E+00	 3.727329E+03
0.95470	-3.006907E-01	 2.155135E-01	 1.146929E-01	 3.164610E+00	 3.472242E+03
0.96014	-3.006907E-01	 2.070086E-01	 1.149192E-01	 3.164762E+00	 3.231351E+03
0.96555	-3.006907E-01	 1.964318E-01	 1.146867E-01	 3.165012E+00	 3.010723E+03
0.97093	-3.006907E-01	 1.846788E-01	 1.137708E-01	 3.165507E+00	 2.811602E+03
0.97628	-3.006907E-01	 1.786003E-01	 1.151626E-01	 3.165295E+00	 2.624965E+03
0.98160	-3.006907E-01	 1.673703E-01	 1.161721E-01	 3.165119E+00	 2.469226E+03
0.98689	-3.006907E-01	 1.408273E-01	 1.139266E-01	 3.165766E+00	 2.362766E+03
0.99216	-3.006907E-01	 1.120978E-01	 1.127622E-01	 3.165995E+00	 2.298000E+03
0.99739	-3.006907E-01	 8.874505E-02	 1.131244E-01	 3.165924E+00	 2.262092E+03
