r	phip	iota	I	g	pr
0.07217	-3.006907E-01	 4.614700E-01	 8.268608E-04	 3.107009E+00	 9.629592E+04
0.12500	-3.006907E-01	 4.801631E-01	 2.607371E-03	 3.111341E+00	 9.262051E+04
0.16137	-3.006907E-01	 4.861360E-01	 4.441993E-03	 3.115413E+00	 8.905135E+04
0.19094	-3.006907E-01	 4.898535E-01	 6.324509E-03	 3.119232E+00	 8.561054E+04
0.21651	-3.006907E-01	 4.927613E-01	 8.251889E-03	 3.122774E+00	 8.231978E+04
0.23936	-3.006907E-01	 4.953273E-01	 1.022050E-02	 3.126045E+00	 7.918207E+04
0.26021	-3.006907E-01	 4.976557E-01	 1.222387E-02	 3.129077E+00	 7.617912E+04
0.27951	-3.006907E-01	 4.998387E-01	 1.425650E-02	 3.131862E+00	 7.332290E+04
0.29756	-3.006907E-01	 5.019110E-01	 1.631349E-02	 3.134447E+00	 7.058484E+04
0.31458	-3.006907E-01	 5.037796E-01	 1.838685E-02	 3.136859E+00	 6.795085E+04
0.33072	-3.006907E-01	 5.055778E-01	 2.047701E-02	 3.139098E+00	 6.542422E+04
0.34611	-3.006907E-01	 5.073432E-01	 2.258289E-02	 3.141149E+00	 6.301859E+04
0.36084	-3.006907E-01	 5.090699E-01	 2.470296E-02	 3.143016E+00	 6.073313E+04
0.37500	-3.006907E-01	 5.107066E-01	 2.683441E-02	 3.144742E+00	 5.853855E+04
0.38864	-3.006907E-01	 5.122600E-01	 2.897717E-02	 3.146338E+00	 5.642792E+04
0.40182	-3.006907E-01	 5.136958E-01	 3.112900E-02	 3.147830E+00	 5.438406E+04
0.41458	-3.006907E-01	 5.150074E-01	 3.328832E-02	 3.149208E+00	 5.241512E+04
0.42696	-3.006907E-01	 5.162370E-01	 3.545666E-02	 3.150482E+00	 5.051550E+04
0.43899	-3.006907E-01	 5.174102E-01	 3.763494E-02	 3.151653E+00	 4.868309E+04
0.45069	-3.006907E-01	 5.185060E-01	 3.982089E-02	 3.152729E+00	 4.691428E+04
0.46211	-3.006907E-01	 5.195032E-01	 4.201182E-02	 3.153714E+00	 4.520733E+04
0.47324	-3.006907E-01	 5.204081E-01	 4.420677E-02	 3.154611E+00	 4.356275E+04
0.48412	-3.006907E-01	 5.212518E-01	 4.640678E-02	 3.155414E+00	 4.198345E+04
0.49476	-3.006907E-01	 5.220404E-01	 4.861118E-02	 3.156125E+00	 4.047016E+04
0.50518	-3.006907E-01	 5.227834E-01	 5.082008E-02	 3.156744E+00	 3.902310E+04
0.51539	-3.006907E-01	 5.234673E-01	 5.303204E-02	 3.157283E+00	 3.763424E+04
