theta	phi(  2)	phi(  4)	phi(  6)	phi(  9)	phi( 13)	phi( 18)	phi( 24)	phi( 30)	phi( 37)	phi( 45)	phi( 54)	phi( 64)	phi( 74)	phi( 85)	phi( 97)
 183.60	  90.00017	  89.99989	  89.99881	  89.99657	  89.99358	  89.99063	  89.98821	  89.98700	  89.98679	  89.98801	  89.99126	  89.99872	  90.01262	  90.03966	  90.35108
 187.20	  90.00034	  89.99977	  89.99760	  89.99312	  89.98712	  89.98122	  89.97635	  89.97390	  89.97344	  89.97586	  89.98232	  89.99724	  90.02508	  90.07940	  90.62449
 190.80	  90.00050	  89.99962	  89.99635	  89.98962	  89.98060	  89.97171	  89.96436	  89.96062	  89.95985	  89.96338	  89.97298	  89.99529	  90.03709	  90.11883	  90.79519
 194.40	  90.00065	  89.99943	  89.99505	  89.98605	  89.97399	  89.96208	  89.95217	  89.94705	  89.94586	  89.95038	  89.96299	  89.99254	  90.04809	  90.15671	  90.93718
 198.00	  90.00079	  89.99920	  89.99368	  89.98238	  89.96726	  89.95227	  89.93971	  89.93311	  89.93134	  89.93668	  89.95208	  89.98852	  90.05723	  90.19065	  91.06967
 201.60	  90.00090	  89.99889	  89.99222	  89.97861	  89.96038	  89.94223	  89.92692	  89.91868	  89.91616	  89.92207	  89.93992	  89.98268	  90.06333	  90.21742	  91.13677
 205.20	  90.00100	  89.99851	  89.99065	  89.97469	  89.95331	  89.93194	  89.91372	  89.90369	  89.90016	  89.90632	  89.92615	  89.97435	  90.06506	  90.23381	  91.08271
 208.80	  90.00107	  89.99805	  89.98897	  89.97063	  89.94604	  89.92134	  89.90006	  89.88801	  89.88319	  89.88920	  89.91042	  89.96287	  90.06111	  90.23765	  90.95134
 212.40	  90.00111	  89.99750	  89.98716	  89.96639	  89.93853	  89.91038	  89.88586	  89.87156	  89.86510	  89.87049	  89.89234	  89.94760	  90.05044	  90.22833	  90.86032
 216.00	  90.00113	  89.99684	  89.98520	  89.96195	  89.93076	  89.89904	  89.87106	  89.85423	  89.84574	  89.84996	  89.87158	  89.92799	  90.03241	  90.20648	  90.83767
 219.60	  90.00111	  89.99608	  89.98308	  89.95731	  89.92270	  89.88726	  89.85559	  89.83593	  89.82499	  89.82741	  89.84783	  89.90365	  90.00680	  90.17337	  90.77449
