theta	phi(  2)	phi(  4)	phi(  6)	phi(  9)	phi( 13)	phi( 18)	phi( 24)	phi( 30)	phi( 37)	phi( 45)	phi( 54)	phi( 64)	phi( 74)	phi( 85)	phi( 97)
   0.00	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000	 180.00000
   3.60	 180.00051	 180.00422	 180.00970	 180.01984	 180.03396	 180.05044	 180.06871	 180.08504	 180.10241	 180.12043	 180.14551	 180.19019	 180.26094	 180.39125	 181.03407
   7.20	 180.00101	 180.00837	 180.01928	 180.03940	 180.06743	 180.10016	 180.13650	 180.16899	 180.20358	 180.23945	 180.28921	 180.37750	 180.51726	 180.77569	 182.24651
  10.80	 180.00150	 180.01242	 180.02859	 180.05841	 180.09995	 180.14849	 180.20246	 180.25081	 180.30240	 180.35602	 180.43033	 180.56205	 180.77047	 181.15159	 183.25165
  14.40	 180.00196	 180.01631	 180.03751	 180.07660	 180.13105	 180.19475	 180.26571	 180.32949	 180.39776	 180.46904	 180.56775	 180.74183	 181.01450	 181.50052	 183.65094
  18.00	 180.00240	 180.01998	 180.04593	 180.09373	 180.16030	 180.23830	 180.32540	 180.40396	 180.48838	 180.57697	 180.69933	 180.91298	 181.24216	 181.79589	 183.43925
  21.60	 180.00281	 180.02339	 180.05375	 180.10958	 180.18732	 180.27856	 180.38068	 180.47313	 180.57288	 180.67805	 180.82266	 181.07148	 181.44249	 182.02853	 183.09816
  25.20	 180.00318	 180.02650	 180.06086	 180.12394	 180.21178	 180.31501	 180.43081	 180.53600	 180.64989	 180.77049	 180.93513	 181.21206	 181.60803	 182.20331	 183.08747
  28.80	 180.00350	 180.02928	 180.06719	 180.13669	 180.23343	 180.34726	 180.47516	 180.59170	 180.71822	 180.85259	 181.03412	 181.33093	 181.74009	 182.31926	 183.38763
  32.40	 180.00379	 180.03170	 180.07269	 180.14770	 180.25209	 180.37499	 180.51328	 180.63957	 180.77693	 180.92303	 181.11789	 181.42763	 181.83958	 182.37997	 183.48140
  36.00	 180.00402	 180.03374	 180.07732	 180.15693	 180.26764	 180.39805	 180.54491	 180.67924	 180.82550	 180.98114	 181.18597	 181.50274	 181.90573	 182.39580	 183.04711
  39.60	 180.00420	 180.03539	 180.08108	 180.16435	 180.28006	 180.41641	 180.56999	 180.71062	 180.86380	 181.02681	 181.23851	 181.55626	 181.94009	 182.37717	 182.44557
  43.20	 180.00433	 180.03666	 180.08395	 180.16997	 180.28941	 180.43015	 180.58863	 180.73383	 180.89198	 181.06023	 181.27572	 181.58836	 181.94653	 182.33272	 182.33338
  46.80	 180.00441	 180.03754	 180.08597	 180.17387	 180.29580	 180.43946	 180.60110	 180.74919	 180.91041	 181.08176	 181.29792	 181.60024	 181.92932	 182.26946	 182.81394
  50.40	 180.00443	 180.03805	 180.08716	 180.17613	 180.29942	 180.44458	 180.60775	 180.75714	 180.91960	 181.09192	 181.30577	 181.59384	 181.89260	 182.19271	 183.18237
  54.00	 180.00441	 180.03820	 180.08757	 180.17686	 180.30046	 180.44586	 180.60904	 180.75825	 180.92019	 181.09145	 181.30032	 181.57141	 181.84028	 182.10616	 182.68579
  57.60	 180.00434	 180.03801	 180.08727	 180.17621	 180.29917	 180.44364	 180.60547	 180.75313	 180.91295	 181.08125	 181.28290	 181.53529	 181.77588	 182.01225	 181.49192
  61.20	 180.00422	 180.03751	 180.08631	 180.17429	 180.29579	 180.43831	 180.59756	 180.74245	 180.89870	 181.06236	 181.25495	 181.48778	 181.70227	 181.91266	 180.70626
  64.80	 180.00406	 180.03672	 180.08475	 180.17126	 180.29056	 180.43026	 180.58588	 180.72692	 180.87831	 181.03588	 181.21798	 181.43108	 181.62164	 181.80863	 181.29269
  68.40	 180.00386	 180.03567	 180.08266	 180.16724	 180.28375	 180.41989	 180.57095	 180.70722	 180.85269	 181.00293	 181.17350	 181.36711	 181.53567	 181.70112	 183.01167
  72.00	 180.00363	 180.03439	 180.08010	 180.16238	 180.27560	 180.40755	 180.55331	 180.68404	 180.82270	 180.96463	 181.12295	 181.29756	 181.44567	 181.59099	 184.53983
  75.60	 180.00337	 180.03291	 180.07715	 180.15683	 180.26636	 180.39361	 180.53346	 180.65804	 180.78919	 180.92206	 181.06765	 181.22383	 181.35271	 181.47904	 184.68367
  79.20	 180.00308	 180.03127	 180.07389	 180.15073	 180.25625	 180.37841	 180.51187	 180.62983	 180.75294	 180.87620	 181.00881	 181.14713	 181.25775	 181.36597	 183.44006
  82.80	 180.00278	 180.02951	 180.07038	 180.14421	 180.24549	 180.36225	 180.48897	 180.59998	 180.71469	 180.82798	 180.94752	 181.06852	 181.16167	 181.25242	 181.85999
  86.40	 180.00246	 180.02766	 180.06669	 180.13739	 180.23426	 180.34541	 180.46515	 180.56900	 180.67510	 180.77823	 180.88474	 180.98894	 181.06526	 181.13898	 180.96404
  90.00	 180.00213	 180.02575	 180.06288	 180.13036	 180.22273	 180.32815	 180.44078	 180.53736	 180.63477	 180.72770	 180.82133	 180.90924	 180.96928	 181.02616	 180.88402
  93.60	 180.00179	 180.02381	 180.05899	 180.12323	 180.21104	 180.31067	 180.41614	 180.50545	 180.59422	 180.67704	 180.75806	 180.83022	 180.87442	 180.91447	 181.01661
