R(  2)	Z(  2)	R(  4)	Z(  4)	R(  6)	Z(  6)	R(  9)	Z(  9)	R( 13)	Z( 13)	R( 18)	Z( 18)	R( 24)	Z( 24)	R( 30)	Z( 30)	R( 37)	Z( 37)	R( 45)	Z( 45)	R( 54)	Z( 54)	R( 64)	Z( 64)	R( 74)	Z( 74)	R( 85)	Z( 85)	R( 97)	Z( 97)
 1.915229E+00	 0.000000E+00	 1.947856E+00	 0.000000E+00	 1.968758E+00	 0.000000E+00	 1.991988E+00	 0.000000E+00	 2.015914E+00	 0.000000E+00	 2.040265E+00	 0.000000E+00	 2.065004E+00	 0.000000E+00	 2.086733E+00	 0.000000E+00	 2.109535E+00	 0.000000E+00	 2.133185E+00	 0.000000E+00	 2.157222E+00	 0.000000E+00	 2.180390E+00	 0.000000E+00	 2.199438E+00	 0.000000E+00	 2.215720E+00	 0.000000E+00	 2.226981E+00	 0.000000E+00
 1.915121E+00	 4.514483E-03	 1.947661E+00	 7.744131E-03	 1.968500E+00	 9.891241E-03	 1.991654E+00	 1.233924E-02	 2.015495E+00	 1.488740E-02	 2.039758E+00	 1.746711E-02	 2.064406E+00	 2.005518E-02	 2.086054E+00	 2.229223E-02	 2.108772E+00	 2.459971E-02	 2.132335E+00	 2.694965E-02	 2.156285E+00	 2.932529E-02	 2.179365E+00	 3.172669E-02	 2.198330E+00	 3.396904E-02	 2.214507E+00	 3.641086E-02	 2.225507E+00	 4.010989E-02
 1.914800E+00	 9.011945E-03	 1.947076E+00	 1.545789E-02	 1.967726E+00	 1.974350E-02	 1.990651E+00	 2.462988E-02	 2.014242E+00	 2.971649E-02	 2.038240E+00	 3.486633E-02	 2.062616E+00	 4.003315E-02	 2.084022E+00	 4.449944E-02	 2.106486E+00	 4.910668E-02	 2.129788E+00	 5.379916E-02	 2.153473E+00	 5.854361E-02	 2.176280E+00	 6.333926E-02	 2.194978E+00	 6.781311E-02	 2.210825E+00	 7.266994E-02	 2.221071E+00	 8.006528E-02
 1.914265E+00	 1.347545E-02	 1.946105E+00	 2.311121E-02	 1.966441E+00	 2.951828E-02	 1.988987E+00	 3.682419E-02	 2.012161E+00	 4.443020E-02	 2.035722E+00	 5.213147E-02	 2.059644E+00	 5.985890E-02	 2.080649E+00	 6.653924E-02	 2.102690E+00	 7.343108E-02	 2.125553E+00	 8.045118E-02	 2.148785E+00	 8.754968E-02	 2.171115E+00	 9.472329E-02	 2.189331E+00	 1.014077E-01	 2.204586E+00	 1.086417E-01	 2.213640E+00	 1.197114E-01
 1.913520E+00	 1.788811E-02	 1.944752E+00	 3.067453E-02	 1.964653E+00	 3.917800E-02	 1.986672E+00	 4.887584E-02	 2.009268E+00	 5.897349E-02	 2.032221E+00	 6.919908E-02	 2.055512E+00	 7.946087E-02	 2.075956E+00	 8.833333E-02	 2.097406E+00	 9.748778E-02	 2.119652E+00	 1.068135E-01	 2.142240E+00	 1.162434E-01	 2.163876E+00	 1.257700E-01	 2.181380E+00	 1.346384E-01	 2.195764E+00	 1.442197E-01	 2.203203E+00	 1.588973E-01
 1.912566E+00	 2.223295E-02	 1.943025E+00	 3.811886E-02	 1.962372E+00	 4.868621E-02	 1.983719E+00	 6.074015E-02	 2.005580E+00	 7.329350E-02	 2.027758E+00	 8.600847E-02	 2.050245E+00	 9.877095E-02	 2.069975E+00	 1.098075E-01	 2.090669E+00	 1.211966E-01	 2.112124E+00	 1.328002E-01	 2.133880E+00	 1.445332E-01	 2.154617E+00	 1.563835E-01	 2.171192E+00	 1.674104E-01	 2.184440E+00	 1.793209E-01	 2.189804E+00	 1.974844E-01
 1.911408E+00	 2.649290E-02	 1.940932E+00	 4.541580E-02	 1.959610E+00	 5.800751E-02	 1.980147E+00	 7.237388E-02	 2.001120E+00	 8.733921E-02	 2.022362E+00	 1.025012E-01	 2.043879E+00	 1.177236E-01	 2.062746E+00	 1.308907E-01	 2.082525E+00	 1.444811E-01	 2.103022E+00	 1.583301E-01	 2.123773E+00	 1.723353E-01	 2.143424E+00	 1.864799E-01	 2.158885E+00	 1.996415E-01	 2.170767E+00	 2.138583E-01	 2.173572E+00	 2.353569E-01
 1.910050E+00	 3.065103E-02	 1.938484E+00	 5.253771E-02	 1.956382E+00	 6.710741E-02	 1.975977E+00	 8.373497E-02	 1.995916E+00	 1.010610E-01	 2.016067E+00	 1.186201E-01	 2.036453E+00	 1.362550E-01	 2.054315E+00	 1.515132E-01	 2.073030E+00	 1.672665E-01	 2.092413E+00	 1.833244E-01	 2.111998E+00	 1.995679E-01	 2.130398E+00	 2.159757E-01	 2.144582E+00	 2.312421E-01	 2.154901E+00	 2.477167E-01	 2.154716E+00	 2.724256E-01
 1.908498E+00	 3.469101E-02	 1.935694E+00	 5.945782E-02	 1.952707E+00	 7.595222E-02	 1.971231E+00	 9.478234E-02	 1.989997E+00	 1.144102E-01	 2.008912E+00	 1.343094E-01	 2.028016E+00	 1.543017E-01	 2.044738E+00	 1.716061E-01	 2.062249E+00	 1.894785E-01	 2.080375E+00	 2.077035E-01	 2.098645E+00	 2.261464E-01	 2.115638E+00	 2.447789E-01	 2.128391E+00	 2.621072E-01	 2.136964E+00	 2.807686E-01	 2.133488E+00	 3.086195E-01
 1.906760E+00	 3.859750E-02	 1.932575E+00	 6.615019E-02	 1.948603E+00	 8.450919E-02	 1.965938E+00	 1.054760E-01	 1.983400E+00	 1.273393E-01	 2.000941E+00	 1.495138E-01	 2.018621E+00	 1.718017E-01	 2.034080E+00	 1.911012E-01	 2.050258E+00	 2.110429E-01	 2.066992E+00	 2.313875E-01	 2.083810E+00	 2.519840E-01	 2.099250E+00	 2.727946E-01	 2.110425E+00	 2.921354E-01	 2.117090E+00	 3.129226E-01	 2.110137E+00	 3.438651E-01
 1.904844E+00	 4.235620E-02	 1.929144E+00	 7.258979E-02	 1.944093E+00	 9.274696E-02	 1.960127E+00	 1.157773E-01	 1.976163E+00	 1.398022E-01	 1.992202E+00	 1.641798E-01	 2.008327E+00	 1.886941E-01	 2.022410E+00	 2.099321E-01	 2.037136E+00	 2.318877E-01	 2.052358E+00	 2.542988E-01	 2.067601E+00	 2.769985E-01	 2.081361E+00	 2.999390E-01	 2.090836E+00	 3.212539E-01	 2.095464E+00	 3.441435E-01	 2.084855E+00	 3.780614E-01
