R(  2)	Z(  2)	R(  4)	Z(  4)	R(  6)	Z(  6)	R(  9)	Z(  9)	R( 13)	Z( 13)	R( 18)	Z( 18)	R( 24)	Z( 24)	R( 30)	Z( 30)	R( 37)	Z( 37)	R( 45)	Z( 45)	R( 54)	Z( 54)	R( 64)	Z( 64)	R( 74)	Z( 74)	R( 85)	Z( 85)	R( 97)	Z( 97)
 1.891032E+00	 3.521600E-02	 1.911384E+00	 8.507713E-02	 1.917441E+00	 1.190556E-01	 1.919372E+00	 1.590495E-01	 1.919178E+00	 2.001611E-01	 1.919230E+00	 2.404553E-01	 1.919523E+00	 2.803373E-01	 1.920256E+00	 3.144678E-01	 1.920871E+00	 3.499344E-01	 1.920978E+00	 3.866458E-01	 1.912313E+00	 4.297340E-01	 1.880078E+00	 4.864601E-01	 1.820942E+00	 5.507752E-01	 1.729016E+00	 6.248140E-01	 1.203368E+00	 5.791425E-01
 1.889229E+00	 3.766784E-02	 1.906470E+00	 9.040791E-02	 1.910140E+00	 1.259538E-01	 1.909099E+00	 1.674876E-01	 1.905797E+00	 2.101097E-01	 1.902832E+00	 2.519820E-01	 1.900175E+00	 2.935011E-01	 1.898408E+00	 3.291162E-01	 1.896433E+00	 3.661438E-01	 1.893857E+00	 4.044566E-01	 1.882122E+00	 4.486363E-01	 1.846610E+00	 5.048793E-01	 1.786163E+00	 5.664231E-01	 1.697440E+00	 6.357175E-01	 1.431025E+00	 6.073333E-01
 1.887324E+00	 3.994244E-02	 1.901373E+00	 9.521981E-02	 1.902657E+00	 1.320499E-01	 1.898708E+00	 1.747775E-01	 1.892392E+00	 2.185679E-01	 1.886503E+00	 2.617099E-01	 1.880992E+00	 3.045789E-01	 1.876804E+00	 3.414445E-01	 1.872327E+00	 3.797955E-01	 1.867178E+00	 4.194711E-01	 1.852679E+00	 4.644268E-01	 1.814729E+00	 5.197254E-01	 1.754187E+00	 5.783402E-01	 1.669420E+00	 6.432372E-01	 1.804674E+00	 8.417111E-01
 1.885328E+00	 4.203107E-02	 1.896132E+00	 9.950533E-02	 1.895057E+00	 1.373481E-01	 1.888293E+00	 1.809468E-01	 1.879080E+00	 2.255869E-01	 1.870380E+00	 2.697121E-01	 1.862126E+00	 3.136656E-01	 1.855608E+00	 3.515638E-01	 1.848732E+00	 3.910170E-01	 1.841136E+00	 4.318306E-01	 1.824189E+00	 4.772773E-01	 1.784548E+00	 5.313055E-01	 1.724887E+00	 5.870128E-01	 1.644322E+00	 6.480558E-01	 1.883326E+00	 1.006147E+00
 1.883252E+00	 4.392656E-02	 1.890785E+00	 1.032608E-01	 1.887402E+00	 1.418615E-01	 1.877935E+00	 1.860310E-01	 1.865962E+00	 2.312262E-01	 1.854575E+00	 2.760717E-01	 1.843699E+00	 3.208641E-01	 1.834950E+00	 3.595911E-01	 1.825787E+00	 3.999379E-01	 1.815877E+00	 4.416745E-01	 1.796784E+00	 4.873612E-01	 1.756108E+00	 5.399182E-01	 1.698029E+00	 5.928418E-01	 1.621655E+00	 6.507980E-01	 1.458676E+00	 8.387402E-01
 1.881107E+00	 4.562335E-02	 1.885368E+00	 1.064868E-01	 1.879745E+00	 1.456081E-01	 1.867703E+00	 1.900687E-01	 1.853117E+00	 2.355509E-01	 1.839178E+00	 2.808771E-01	 1.825803E+00	 3.262807E-01	 1.814928E+00	 3.656442E-01	 1.803594E+00	 4.066860E-01	 1.791503E+00	 4.491394E-01	 1.770545E+00	 4.948511E-01	 1.729391E+00	 5.458325E-01	 1.673329E+00	 5.962070E-01	 1.601071E+00	 6.519321E-01	 8.314583E-01	 4.360406E-01
 1.878907E+00	 4.711736E-02	 1.879916E+00	 1.091876E-01	 1.872133E+00	 1.486067E-01	 1.857656E+00	 1.930985E-01	 1.840613E+00	 2.386289E-01	 1.824256E+00	 2.842186E-01	 1.808510E+00	 3.300205E-01	 1.795614E+00	 3.698383E-01	 1.782223E+00	 4.113853E-01	 1.768085E+00	 4.543579E-01	 1.745516E+00	 4.999130E-01	 1.704326E+00	 5.492973E-01	 1.650516E+00	 5.974634E-01	 1.582321E+00	 6.517565E-01	 6.119421E-01	 2.233698E-01
 1.876661E+00	 4.840546E-02	 1.874462E+00	 1.113696E-01	 1.864608E+00	 1.508736E-01	 1.847846E+00	 1.951607E-01	 1.828503E+00	 2.405305E-01	 1.809863E+00	 2.861856E-01	 1.791871E+00	 3.321863E-01	 1.777058E+00	 3.722853E-01	 1.761726E+00	 4.141559E-01	 1.745664E+00	 4.574590E-01	 1.721708E+00	 5.027086E-01	 1.680813E+00	 5.505500E-01	 1.629368E+00	 5.969109E-01	 1.565214E+00	 6.504334E-01	 1.202831E+00	 5.417221E-01
 1.874383E+00	 4.948526E-02	 1.869036E+00	 1.130397E-01	 1.857207E+00	 1.524236E-01	 1.838314E+00	 1.963003E-01	 1.816828E+00	 2.413289E-01	 1.796034E+00	 2.868657E-01	 1.775920E+00	 3.328775E-01	 1.759296E+00	 3.730935E-01	 1.742131E+00	 4.151153E-01	 1.724266E+00	 4.585701E-01	 1.699112E+00	 5.033960E-01	 1.658743E+00	 5.498099E-01	 1.609711E+00	 5.947786E-01	 1.549579E+00	 6.480364E-01	 2.420844E+00	 1.279613E+00
 1.872081E+00	 5.035515E-02	 1.863662E+00	 1.142044E-01	 1.849966E+00	 1.532753E-01	 1.829096E+00	 1.965702E-01	 1.805615E+00	 2.410985E-01	 1.782797E+00	 2.863436E-01	 1.760682E+00	 3.321899E-01	 1.742346E+00	 3.723679E-01	 1.723455E+00	 4.143773E-01	 1.703897E+00	 4.578158E-01	 1.677704E+00	 5.021274E-01	 1.638017E+00	 5.472680E-01	 1.591403E+00	 5.912271E-01	 1.535249E+00	 6.445923E-01	 3.586371E+00	 1.943517E+00
