theta	phi(  2)	phi(  4)	phi(  6)	phi(  9)	phi( 13)	phi( 18)	phi( 24)	phi( 30)	phi( 37)	phi( 45)	phi( 54)	phi( 64)	phi( 74)	phi( 85)	phi( 97)
  79.20	   0.00308	   0.03127	   0.07389	   0.15073	   0.25625	   0.37841	   0.51187	   0.62983	   0.75294	   0.87620	   1.00881	   1.14713	   1.25775	   1.36597	   3.44006
  82.80	   0.00278	   0.02951	   0.07038	   0.14421	   0.24549	   0.36225	   0.48897	   0.59998	   0.71469	   0.82798	   0.94752	   1.06852	   1.16167	   1.25242	   1.85999
  86.40	   0.00246	   0.02766	   0.06669	   0.13739	   0.23426	   0.34541	   0.46515	   0.56900	   0.67510	   0.77823	   0.88474	   0.98894	   1.06526	   1.13898	   0.96404
  90.00	   0.00213	   0.02575	   0.06288	   0.13036	   0.22273	   0.32815	   0.44078	   0.53736	   0.63477	   0.72770	   0.82133	   0.90924	   0.96928	   1.02616	   0.88402
  93.60	   0.00179	   0.02381	   0.05899	   0.12323	   0.21104	   0.31067	   0.41614	   0.50545	   0.59422	   0.67704	   0.75806	   0.83022	   0.87442	   0.91447	   1.01661
  97.20	   0.00146	   0.02185	   0.05508	   0.11606	   0.19933	   0.29315	   0.39151	   0.47364	   0.55390	   0.62683	   0.69561	   0.75259	   0.78132	   0.80437	   0.82817
 100.80	   0.00113	   0.01990	   0.05118	   0.10892	   0.18767	   0.27575	   0.36711	   0.44221	   0.51420	   0.57756	   0.63459	   0.67699	   0.69058	   0.69637	   0.36111
 104.40	   0.00080	   0.01797	   0.04733	   0.10188	   0.17617	   0.25859	   0.34312	   0.41142	   0.47545	   0.52966	   0.57551	   0.60398	   0.60280	   0.59099	   0.00100
 108.00	   0.00050	   0.01608	   0.04357	   0.09499	   0.16487	   0.24177	   0.31969	   0.38147	   0.43792	   0.48347	   0.51879	   0.53406	   0.51851	   0.48883	  -0.05802
 111.60	   0.00021	   0.01426	   0.03994	   0.08827	   0.15383	   0.22536	   0.29692	   0.35250	   0.40181	   0.43928	   0.46479	   0.46766	   0.43825	   0.39051	   0.01318
 115.20	  -0.00006	   0.01254	   0.03646	   0.08176	   0.14309	   0.20943	   0.27492	   0.32465	   0.36729	   0.39730	   0.41379	   0.40514	   0.36253	   0.29675	  -0.02731
 118.80	  -0.00030	   0.01093	   0.03315	   0.07547	   0.13266	   0.19400	   0.25373	   0.29799	   0.33448	   0.35769	   0.36600	   0.34682	   0.29182	   0.20829	  -0.18638
 122.40	  -0.00051	   0.00945	   0.03001	   0.06941	   0.12257	   0.17911	   0.23339	   0.27257	   0.30345	   0.32056	   0.32160	   0.29296	   0.22651	   0.12591	  -0.29122
 126.00	  -0.00070	   0.00809	   0.02704	   0.06359	   0.11282	   0.16477	   0.21392	   0.24843	   0.27423	   0.28597	   0.28068	   0.24376	   0.16698	   0.05032	  -0.26616
 129.60	  -0.00085	   0.00686	   0.02425	   0.05801	   0.10343	   0.15097	   0.19531	   0.22554	   0.24683	   0.25393	   0.24331	   0.19941	   0.11354	  -0.01790	  -0.23805
 133.20	  -0.00097	   0.00576	   0.02164	   0.05267	   0.09438	   0.13772	   0.17754	   0.20388	   0.22120	   0.22441	   0.20947	   0.16001	   0.06652	  -0.07825	  -0.35474
 136.80	  -0.00106	   0.00478	   0.01919	   0.04756	   0.08568	   0.12498	   0.16059	   0.18341	   0.19729	   0.19733	   0.17913	   0.12565	   0.02628	  -0.13030	  -0.58675
 140.40	  -0.00111	   0.00392	   0.01692	   0.04269	   0.07730	   0.11274	   0.14441	   0.16407	   0.17501	   0.17259	   0.15217	   0.09635	  -0.00680	  -0.17337	  -0.77449
 144.00	  -0.00113	   0.00316	   0.01480	   0.03805	   0.06924	   0.10096	   0.12894	   0.14577	   0.15426	   0.15004	   0.12842	   0.07201	  -0.03241	  -0.20648	  -0.83767
 147.60	  -0.00111	   0.00250	   0.01284	   0.03361	   0.06147	   0.08962	   0.11414	   0.12844	   0.13490	   0.12951	   0.10766	   0.05240	  -0.05044	  -0.22833	  -0.86032
 151.20	  -0.00107	   0.00195	   0.01103	   0.02937	   0.05396	   0.07866	   0.09994	   0.11199	   0.11681	   0.11080	   0.08958	   0.03713	  -0.06111	  -0.23765	  -0.95134
 154.80	  -0.00100	   0.00149	   0.00935	   0.02531	   0.04669	   0.06806	   0.08628	   0.09631	   0.09984	   0.09368	   0.07385	   0.02565	  -0.06506	  -0.23381	  -1.08270
 158.40	  -0.00090	   0.00111	   0.00778	   0.02139	   0.03962	   0.05777	   0.07308	   0.08132	   0.08384	   0.07793	   0.06008	   0.01732	  -0.06333	  -0.21742	  -1.13677
 162.00	  -0.00079	   0.00080	   0.00632	   0.01762	   0.03274	   0.04773	   0.06029	   0.06689	   0.06866	   0.06332	   0.04792	   0.01148	  -0.05723	  -0.19065	  -1.06968
 165.60	  -0.00065	   0.00057	   0.00495	   0.01395	   0.02601	   0.03792	   0.04783	   0.05295	   0.05414	   0.04962	   0.03701	   0.00746	  -0.04809	  -0.15671	  -0.93718
 169.20	  -0.00050	   0.00038	   0.00365	   0.01038	   0.01940	   0.02829	   0.03564	   0.03938	   0.04015	   0.03662	   0.02702	   0.00471	  -0.03709	  -0.11883	  -0.79519
 172.80	  -0.00034	   0.00023	   0.00240	   0.00688	   0.01288	   0.01878	   0.02365	   0.02610	   0.02656	   0.02414	   0.01768	   0.00276	  -0.02508	  -0.07940	  -0.62449
 176.40	  -0.00017	   0.00011	   0.00119	   0.00343	   0.00642	   0.00937	   0.01179	   0.01300	   0.01321	   0.01199	   0.00874	   0.00128	  -0.01262	  -0.03966	  -0.35108
 180.00	  -0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	  -0.00000	  -0.00000	  -0.00000
 183.60	   0.00017	  -0.00011	  -0.00119	  -0.00343	  -0.00642	  -0.00937	  -0.01179	  -0.01300	  -0.01321	  -0.01199	  -0.00874	  -0.00128	   0.01262	   0.03966	   0.35108
 187.20	   0.00034	  -0.00023	  -0.00240	  -0.00688	  -0.01288	  -0.01878	  -0.02365	  -0.02610	  -0.02656	  -0.02414	  -0.01768	  -0.00276	   0.02508	   0.07940	   0.62449
 190.80	   0.00050	  -0.00038	  -0.00365	  -0.01038	  -0.01940	  -0.02829	  -0.03564	  -0.03938	  -0.04015	  -0.03662	  -0.02702	  -0.00471	   0.03709	   0.11883	   0.79519
 194.40	   0.00065	  -0.00057	  -0.00495	  -0.01395	  -0.02601	  -0.03792	  -0.04783	  -0.05295	  -0.05414	  -0.04962	  -0.03701	  -0.00746	   0.04809	   0.15671	   0.93718
 198.00	   0.00079	  -0.00080	  -0.00632	  -0.01762	  -0.03274	  -0.04773	  -0.06029	  -0.06689	  -0.06866	  -0.06332	  -0.04792	  -0.01148	   0.05723	   0.19065	   1.06967
 201.60	   0.00090	  -0.00111	  -0.00778	  -0.02139	  -0.03962	  -0.05777	  -0.07308	  -0.08132	  -0.08384	  -0.07793	  -0.06008	  -0.01732	   0.06333	   0.21742	   1.13677
 205.20	   0.00100	  -0.00149	  -0.00935	  -0.02531	  -0.04669	  -0.06806	  -0.08628	  -0.09631	  -0.09984	  -0.09368	  -0.07385	  -0.02565	   0.06506	   0.23381	   1.08271
 208.80	   0.00107	  -0.00195	  -0.01103	  -0.02937	  -0.05396	  -0.07866	  -0.09994	  -0.11199	  -0.11681	  -0.11080	  -0.08958	  -0.03713	   0.06111	   0.23765	   0.95134
 212.40	   0.00111	  -0.00250	  -0.01284	  -0.03361	  -0.06147	  -0.08962	  -0.11414	  -0.12844	  -0.13490	  -0.12951	  -0.10766	  -0.05240	   0.05044	   0.22833	   0.86032
 216.00	   0.00113	  -0.00316	  -0.01480	  -0.03805	  -0.06924	  -0.10096	  -0.12894	  -0.14577	  -0.15426	  -0.15004	  -0.12842	  -0.07201	   0.03241	   0.20648	   0.83767
 219.60	   0.00111	  -0.00392	  -0.01692	  -0.04269	  -0.07730	  -0.11274	  -0.14441	  -0.16407	  -0.17501	  -0.17259	  -0.15217	  -0.09635	   0.00680	   0.17337	   0.77449
 223.20	   0.00106	  -0.00478	  -0.01919	  -0.04756	  -0.08568	  -0.12498	  -0.16059	  -0.18341	  -0.19729	  -0.19733	  -0.17913	  -0.12565	  -0.02628	   0.13030	   0.58675
 226.80	   0.00097	  -0.00576	  -0.02164	  -0.05267	  -0.09438	  -0.13772	  -0.17754	  -0.20388	  -0.22120	  -0.22441	  -0.20947	  -0.16001	  -0.06652	   0.07825	   0.35474
 230.40	   0.00085	  -0.00686	  -0.02425	  -0.05801	  -0.10343	  -0.15097	  -0.19531	  -0.22554	  -0.24683	  -0.25393	  -0.24331	  -0.19941	  -0.11354	   0.01790	   0.23805
 234.00	   0.00070	  -0.00809	  -0.02704	  -0.06359	  -0.11282	  -0.16477	  -0.21392	  -0.24843	  -0.27423	  -0.28597	  -0.28068	  -0.24376	  -0.16698	  -0.05032	   0.26615
 237.60	   0.00051	  -0.00945	  -0.03001	  -0.06941	  -0.12257	  -0.17911	  -0.23339	  -0.27257	  -0.30345	  -0.32056	  -0.32160	  -0.29296	  -0.22651	  -0.12591	   0.29122
 241.20	   0.00030	  -0.01093	  -0.03315	  -0.07547	  -0.13266	  -0.19400	  -0.25373	  -0.29799	  -0.33448	  -0.35769	  -0.36600	  -0.34682	  -0.29182	  -0.20829	   0.18638
 244.80	   0.00006	  -0.01254	  -0.03646	  -0.08176	  -0.14309	  -0.20943	  -0.27492	  -0.32465	  -0.36729	  -0.39730	  -0.41378	  -0.40514	  -0.36253	  -0.29675	   0.02732
 248.40	  -0.00021	  -0.01426	  -0.03994	  -0.08827	  -0.15383	  -0.22536	  -0.29692	  -0.35250	  -0.40181	  -0.43928	  -0.46479	  -0.46766	  -0.43825	  -0.39051	  -0.01318
 252.00	  -0.00050	  -0.01608	  -0.04357	  -0.09499	  -0.16487	  -0.24177	  -0.31969	  -0.38147	  -0.43792	  -0.48347	  -0.51879	  -0.53406	  -0.51851	  -0.48883	   0.05803
 255.60	  -0.00080	  -0.01797	  -0.04733	  -0.10188	  -0.17617	  -0.25859	  -0.34312	  -0.41142	  -0.47545	  -0.52966	  -0.57551	  -0.60398	  -0.60280	  -0.59099	  -0.00098
 259.20	  -0.00113	  -0.01990	  -0.05118	  -0.10892	  -0.18767	  -0.27575	  -0.36711	  -0.44221	  -0.51420	  -0.57756	  -0.63459	  -0.67699	  -0.69058	  -0.69637	  -0.36108
 262.80	  -0.00146	  -0.02185	  -0.05508	  -0.11606	  -0.19933	  -0.29315	  -0.39151	  -0.47364	  -0.55390	  -0.62683	  -0.69561	  -0.75259	  -0.78132	  -0.80437	  -0.82814
 266.40	  -0.00179	  -0.02381	  -0.05899	  -0.12323	  -0.21104	  -0.31067	  -0.41614	  -0.50545	  -0.59422	  -0.67704	  -0.75806	  -0.83022	  -0.87442	  -0.91447	  -1.01659
 270.00	  -0.00213	  -0.02575	  -0.06288	  -0.13036	  -0.22273	  -0.32815	  -0.44078	  -0.53736	  -0.63477	  -0.72770	  -0.82133	  -0.90924	  -0.96928	  -1.02616	  -0.88400
 273.60	  -0.00246	  -0.02766	  -0.06669	  -0.13739	  -0.23426	  -0.34541	  -0.46515	  -0.56900	  -0.67510	  -0.77823	  -0.88474	  -0.98894	  -1.06526	  -1.13898	  -0.96400
 277.20	  -0.00278	  -0.02951	  -0.07038	  -0.14421	  -0.24549	  -0.36225	  -0.48897	  -0.59998	  -0.71469	  -0.82798	  -0.94752	  -1.06852	  -1.16167	  -1.25242	  -1.85995
 280.80	  -0.00308	  -0.03127	  -0.07389	  -0.15073	  -0.25625	  -0.37841	  -0.51187	  -0.62983	  -0.75294	  -0.87620	  -1.00881	  -1.14713	  -1.25775	  -1.36597	  -3.44002
 284.40	  -0.00337	  -0.03291	  -0.07715	  -0.15683	  -0.26636	  -0.39361	  -0.53346	  -0.65804	  -0.78919	  -0.92206	  -1.06765	  -1.22383	  -1.35271	  -1.47904	  -4.68365
 288.00	  -0.00363	  -0.03439	  -0.08010	  -0.16238	  -0.27560	  -0.40755	  -0.55331	  -0.68404	  -0.82270	  -0.96463	  -1.12295	  -1.29756	  -1.44567	  -1.59099	  -4.53984
 291.60	  -0.00386	  -0.03567	  -0.08266	  -0.16724	  -0.28375	  -0.41989	  -0.57095	  -0.70722	  -0.85269	  -1.00293	  -1.17350	  -1.36711	  -1.53567	  -1.70112	  -3.01170
 295.20	  -0.00406	  -0.03672	  -0.08475	  -0.17126	  -0.29056	  -0.43026	  -0.58588	  -0.72692	  -0.87831	  -1.03588	  -1.21798	  -1.43108	  -1.62164	  -1.80862	  -1.29271
 298.80	  -0.00422	  -0.03751	  -0.08631	  -0.17429	  -0.29579	  -0.43831	  -0.59756	  -0.74245	  -0.89870	  -1.06236	  -1.25495	  -1.48778	  -1.70227	  -1.91266	  -0.70626
 302.40	  -0.00434	  -0.03801	  -0.08727	  -0.17621	  -0.29917	  -0.44364	  -0.60547	  -0.75313	  -0.91295	  -1.08125	  -1.28290	  -1.53529	  -1.77588	  -2.01225	  -1.49191
 306.00	  -0.00441	  -0.03820	  -0.08757	  -0.17686	  -0.30046	  -0.44586	  -0.60904	  -0.75825	  -0.92019	  -1.09145	  -1.30032	  -1.57141	  -1.84028	  -2.10616	  -2.68578
 309.60	  -0.00443	  -0.03805	  -0.08716	  -0.17613	  -0.29942	  -0.44458	  -0.60775	  -0.75714	  -0.91960	  -1.09192	  -1.30577	  -1.59384	  -1.89260	  -2.19271	  -3.18237
 313.20	  -0.00441	  -0.03754	  -0.08597	  -0.17387	  -0.29580	  -0.43946	  -0.60110	  -0.74919	  -0.91041	  -1.08176	  -1.29792	  -1.60024	  -1.92932	  -2.26946	  -2.81395
 316.80	  -0.00433	  -0.03666	  -0.08395	  -0.16997	  -0.28941	  -0.43015	  -0.58863	  -0.73383	  -0.89198	  -1.06023	  -1.27572	  -1.58836	  -1.94653	  -2.33272	  -2.33338
 320.40	  -0.00420	  -0.03539	  -0.08108	  -0.16435	  -0.28006	  -0.41641	  -0.56999	  -0.71062	  -0.86380	  -1.02681	  -1.23851	  -1.55626	  -1.94009	  -2.37717	  -2.44556
 324.00	  -0.00402	  -0.03374	  -0.07732	  -0.15693	  -0.26764	  -0.39805	  -0.54491	  -0.67924	  -0.82550	  -0.98114	  -1.18597	  -1.50274	  -1.90573	  -2.39580	  -3.04711
 327.60	  -0.00379	  -0.03170	  -0.07269	  -0.14770	  -0.25209	  -0.37499	  -0.51328	  -0.63957	  -0.77693	  -0.92303	  -1.11789	  -1.42763	  -1.83958	  -2.37997	  -3.48140
 331.20	  -0.00350	  -0.02928	  -0.06719	  -0.13669	  -0.23343	  -0.34726	  -0.47516	  -0.59170	  -0.71822	  -0.85259	  -1.03412	  -1.33093	  -1.74009	  -2.31926	  -3.38764
 334.80	  -0.00318	  -0.02650	  -0.06086	  -0.12394	  -0.21178	  -0.31501	  -0.43081	  -0.53600	  -0.64989	  -0.77049	  -0.93514	  -1.21206	  -1.60803	  -2.20331	  -3.08748
 338.40	  -0.00281	  -0.02339	  -0.05375	  -0.10958	  -0.18732	  -0.27856	  -0.38068	  -0.47313	  -0.57288	  -0.67805	  -0.82266	  -1.07148	  -1.44249	  -2.02853	  -3.09816
 342.00	  -0.00240	  -0.01998	  -0.04594	  -0.09373	  -0.16030	  -0.23830	  -0.32540	  -0.40396	  -0.48838	  -0.57697	  -0.69933	  -0.91298	  -1.24216	  -1.79589	  -3.43924
 345.60	  -0.00196	  -0.01631	  -0.03751	  -0.07660	  -0.13105	  -0.19475	  -0.26571	  -0.32949	  -0.39776	  -0.46904	  -0.56775	  -0.74183	  -1.01450	  -1.50052	  -3.65093
 349.20	  -0.00150	  -0.01242	  -0.02859	  -0.05841	  -0.09995	  -0.14849	  -0.20246	  -0.25081	  -0.30240	  -0.35602	  -0.43033	  -0.56205	  -0.77047	  -1.15159	  -3.25166
 352.80	  -0.00101	  -0.00837	  -0.01928	  -0.03940	  -0.06743	  -0.10016	  -0.13650	  -0.16899	  -0.20358	  -0.23945	  -0.28921	  -0.37750	  -0.51726	  -0.77569	  -2.24652
 356.40	  -0.00051	  -0.00422	  -0.00970	  -0.01984	  -0.03396	  -0.05044	  -0.06871	  -0.08504	  -0.10241	  -0.12043	  -0.14551	  -0.19019	  -0.26094	  -0.39125	  -1.03407
 360.00	  -0.00000	  -0.00000	  -0.00000	  -0.00000	  -0.00000	  -0.00000	  -0.00000	  -0.00000	  -0.00000	  -0.00000	  -0.00000	  -0.00000	  -0.00000	  -0.00000	   0.00000
