theta	phi(  2)	phi(  4)	phi(  6)	phi(  9)	phi( 13)	phi( 18)	phi( 24)	phi( 30)	phi( 37)	phi( 45)	phi( 54)	phi( 64)	phi( 74)	phi( 85)	phi( 97)
   0.00	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000
   3.60	   0.00051	   0.00422	   0.00970	   0.01984	   0.03396	   0.05044	   0.06871	   0.08504	   0.10241	   0.12043	   0.14551	   0.19019	   0.26094	   0.39125	   1.03407
   7.20	   0.00101	   0.00837	   0.01928	   0.03940	   0.06743	   0.10016	   0.13650	   0.16899	   0.20358	   0.23945	   0.28921	   0.37750	   0.51726	   0.77569	   2.24651
  10.80	   0.00150	   0.01242	   0.02859	   0.05841	   0.09995	   0.14849	   0.20246	   0.25081	   0.30240	   0.35602	   0.43033	   0.56205	   0.77047	   1.15159	   3.25165
  14.40	   0.00196	   0.01631	   0.03751	   0.07660	   0.13105	   0.19475	   0.26571	   0.32949	   0.39776	   0.46904	   0.56775	   0.74183	   1.01450	   1.50052	   3.65094
  18.00	   0.00240	   0.01998	   0.04593	   0.09373	   0.16030	   0.23830	   0.32540	   0.40396	   0.48838	   0.57697	   0.69933	   0.91298	   1.24216	   1.79589	   3.43925
  21.60	   0.00281	   0.02339	   0.05375	   0.10958	   0.18732	   0.27856	   0.38068	   0.47313	   0.57288	   0.67805	   0.82266	   1.07148	   1.44249	   2.02853	   3.09816
  25.20	   0.00318	   0.02650	   0.06086	   0.12394	   0.21178	   0.31501	   0.43081	   0.53600	   0.64989	   0.77049	   0.93513	   1.21206	   1.60803	   2.20331	   3.08747
  28.80	   0.00350	   0.02928	   0.06719	   0.13669	   0.23343	   0.34726	   0.47516	   0.59170	   0.71822	   0.85259	   1.03412	   1.33093	   1.74009	   2.31926	   3.38763
  32.40	   0.00379	   0.03170	   0.07269	   0.14770	   0.25209	   0.37499	   0.51328	   0.63957	   0.77693	   0.92303	   1.11789	   1.42763	   1.83958	   2.37997	   3.48140
  36.00	   0.00402	   0.03374	   0.07732	   0.15693	   0.26764	   0.39805	   0.54491	   0.67924	   0.82550	   0.98114	   1.18597	   1.50274	   1.90573	   2.39580	   3.04711
  39.60	   0.00420	   0.03539	   0.08108	   0.16435	   0.28006	   0.41641	   0.56999	   0.71062	   0.86380	   1.02681	   1.23851	   1.55626	   1.94009	   2.37717	   2.44557
  43.20	   0.00433	   0.03666	   0.08395	   0.16997	   0.28941	   0.43015	   0.58863	   0.73383	   0.89198	   1.06023	   1.27572	   1.58836	   1.94653	   2.33272	   2.33338
  46.80	   0.00441	   0.03754	   0.08597	   0.17387	   0.29580	   0.43946	   0.60110	   0.74919	   0.91041	   1.08176	   1.29792	   1.60024	   1.92932	   2.26946	   2.81394
  50.40	   0.00443	   0.03805	   0.08716	   0.17613	   0.29942	   0.44458	   0.60775	   0.75714	   0.91960	   1.09192	   1.30577	   1.59384	   1.89260	   2.19271	   3.18237
  54.00	   0.00441	   0.03820	   0.08757	   0.17686	   0.30046	   0.44586	   0.60904	   0.75825	   0.92019	   1.09145	   1.30032	   1.57141	   1.84028	   2.10616	   2.68579
  57.60	   0.00434	   0.03801	   0.08727	   0.17621	   0.29917	   0.44364	   0.60547	   0.75313	   0.91295	   1.08125	   1.28290	   1.53529	   1.77588	   2.01225	   1.49192
  61.20	   0.00422	   0.03751	   0.08631	   0.17429	   0.29579	   0.43831	   0.59756	   0.74245	   0.89870	   1.06236	   1.25495	   1.48778	   1.70227	   1.91266	   0.70626
  64.80	   0.00406	   0.03672	   0.08475	   0.17126	   0.29056	   0.43026	   0.58588	   0.72692	   0.87831	   1.03588	   1.21798	   1.43108	   1.62164	   1.80863	   1.29269
  68.40	   0.00386	   0.03567	   0.08266	   0.16724	   0.28375	   0.41989	   0.57095	   0.70722	   0.85269	   1.00293	   1.17350	   1.36711	   1.53567	   1.70112	   3.01167
  72.00	   0.00363	   0.03439	   0.08010	   0.16238	   0.27560	   0.40755	   0.55331	   0.68404	   0.82270	   0.96463	   1.12295	   1.29756	   1.44567	   1.59099	   4.53983
  75.60	   0.00337	   0.03291	   0.07715	   0.15683	   0.26636	   0.39361	   0.53346	   0.65804	   0.78919	   0.92206	   1.06765	   1.22383	   1.35271	   1.47904	   4.68367
